"Kod";"Nazwa";"ogółem;2021;[%]";
011212000000;"PODREGION KRAKOWSKI";4,8;
011212100000;"PODREGION MIASTO KRAKÓW";2,8;
011212200000;"PODREGION NOWOSĄDECKI";7,2;
011212300000;"PODREGION OŚWIĘCIMSKI";6,5;
011212400000;"PODREGION TARNOWSKI";6,9;
011216900000;"PODREGION NOWOTARSKI";7,0;
012414400000;"PODREGION BIELSKI";4,1;
012414500000;"PODREGION BYTOMSKI";6,8;
012414600000;"PODREGION CZĘSTOCHOWSKI";5,6;
012414700000;"PODREGION GLIWICKI";4,0;
012414800000;"PODREGION KATOWICKI";2,6;
012414900000;"PODREGION RYBNICKI";4,6;
012415000000;"PODREGION SOSNOWIECKI";5,7;
012415100000;"PODREGION TYSKI";2,8;
020811300000;"PODREGION GORZOWSKI";4,5;
020811400000;"PODREGION ZIELONOGÓRSKI";5,4;
023015700000;"PODREGION KALISKI";3,1;
023015800000;"PODREGION KONIŃSKI";5,6;
023015900000;"PODREGION LESZCZYŃSKI";3,3;
023016000000;"PODREGION PILSKI";4,9;
023016100000;"PODREGION POZNAŃSKI";2,3;
023016200000;"PODREGION MIASTO POZNAŃ";1,6;
023216300000;"PODREGION KOSZALIŃSKI";8,9;
023216400000;"PODREGION SZCZECINECKO-PYRZYCKI";12,5;
023216500000;"PODREGION MIASTO SZCZECIN";3,3;
023216600000;"PODREGION SZCZECIŃSKI";6,8;
030210100000;"PODREGION JELENIOGÓRSKI";7,2;
030210200000;"PODREGION LEGNICKO-GŁOGOWSKI";6,3;
030210300000;"PODREGION WAŁBRZYSKI";7,9;
030210400000;"PODREGION WROCŁAWSKI";4,8;
030210500000;"PODREGION MIASTO WROCŁAW";1,9;
031613100000;"PODREGION NYSKI";8,8;
031613200000;"PODREGION OPOLSKI";5,3;
040410600000;"PODREGION BYDGOSKO-TORUŃSKI";3,9;
040410700000;"PODREGION GRUDZIĄDZKI";10,8;
040410800000;"PODREGION WŁOCŁAWSKI";13,2;
040416700000;"PODREGION INOWROCŁAWSKI";11,5;
040416800000;"PODREGION ŚWIECKI";8,8;
042214000000;"PODREGION GDAŃSKI";5,4;
042214100000;"PODREGION SŁUPSKI";8,5;
042214200000;"PODREGION STAROGARDZKI";6,9;
042214300000;"PODREGION TRÓJMIEJSKI";2,7;
042217200000;"PODREGION CHOJNICKI";8,8;
042815400000;"PODREGION ELBLĄSKI";9,5;
042815500000;"PODREGION EŁCKI";11,7;
042815600000;"PODREGION OLSZTYŃSKI";7,8;
051011500000;"PODREGION ŁÓDZKI";6,0;
051011600000;"PODREGION MIASTO ŁÓDŹ";5,8;
051011700000;"PODREGION PIOTRKOWSKI";6,3;
051011800000;"PODREGION SIERADZKI";6,7;
051011900000;"PODREGION SKIERNIEWICKI";6,1;
052615200000;"PODREGION KIELECKI";8,8;
052615300000;"PODREGION SANDOMIERSKO-JĘDRZEJOWSKI";8,4;
060610900000;"PODREGION BIALSKI";10,5;
060611000000;"PODREGION CHEŁMSKO-ZAMOJSKI";11,8;
060611100000;"PODREGION LUBELSKI";6,5;
060611200000;"PODREGION PUŁAWSKI";8,1;
061813300000;"PODREGION KROŚNIEŃSKI";11,1;
061813400000;"PODREGION PRZEMYSKI";14,2;
061813500000;"PODREGION RZESZOWSKI";8,7;
061813600000;"PODREGION TARNOBRZESKI";8,1;
062013700000;"PODREGION BIAŁOSTOCKI";7,6;
062013800000;"PODREGION ŁOMŻYŃSKI";7,7;
062013900000;"PODREGION SUWALSKI";8,5;
071412800000;"PODREGION MIASTO WARSZAWA";1,7;
071412900000;"PODREGION WARSZAWSKI WSCHODNI";6,2;
071413000000;"PODREGION WARSZAWSKI ZACHODNI";3,2;
071422500000;"PODREGION CIECHANOWSKI";10,1;
071422600000;"PODREGION OSTROŁĘCKI";9,6;
071422700000;"PODREGION RADOMSKI";14,1;
071427000000;"PODREGION PŁOCKI";9,8;
071427100000;"PODREGION SIEDLECKI";6,7;
071427300000;"PODREGION ŻYRARDOWSKI";4,9;
