Nazwa;emisja szkodliwych gazów na km2;Wspó³czynnik zawartych ma³¿eñstw;Nak³ady inwestycyjne w przedsiêbiorstwach ;Poszkodowani w wypadkach przy pracy;wspó³czynnik skolaryzacji netto;Stopa bezrobocia;Przeciêtne wynagrodzenie brutto
;2021;2021;2021;2021;2021;2021;2021
;tona;1/1000 mieszkañcow;Na 1 mieszkañca;Na 1000 osób pracuj¹cych;%;%;z³
Powiat boles³awiecki;30,77;3,8;6186;7,76;94,49;5,1;5461,94
Powiat dzier¿oniowski;41,38;3,5;2174;4,81;92,38;5,5;5127,97
Powiat g³ogowski;2355,43;4,2;7549;6,72;95,44;7,7;5171,28
Powiat górowski;5,29;4,0;608;7,75;90,65;18,3;4862,88
Powiat jaworski;35,87;3,3;16337;5,92;87,98;10,8;5554,54
Powiat karkonoski;35,03;3,5;3544;4,60;78,55;10,5;5050,91
Powiat kamiennogórski;35,61;4,1;2521;5,04;89,91;6,6;4885,26
Powiat k³odzki;24,16;3,4;1705;4,10;91,09;12,5;5141,98
Powiat legnicki;57,37;4,3;5011;8,44;79,95;8,4;5452,05
Powiat lubañski;45,86;3,8;2198;5,34;92,77;8,0;4980,17
Powiat lubiñski;233,57;4,4;7786;6,72;98,07;4,0;10076,64
Powiat lwówecki;1,18;3,8;1019;6,60;85,90;9,5;5049,64
Powiat oleœnicki;36,98;4,3;2833;6,64;93,52;6,0;5113,77
Powiat o³awski;139,76;4,1;9306;10,12;95,88;4,0;5467,98
Powiat polkowicki;270,73;4,6;25270;8,35;91,40;4,9;6120,80
Powiat strzeliñski;117,51;3,5;2431;4,38;88,84;11,8;5671,21
Powiat œredzki;67,46;4,0;8082;5,35;85,68;5,8;5761,88
Powiat œwidnicki;170,59;4,0;3720;7,70;94,24;5,7;5469,98
Powiat trzebnicki;0,42;4,4;4603;4,76;90,64;5,1;5235,04
Powiat wa³brzyski;2,56;3,5;1562;4,64;83,48;13,9;4759,75
Powiat wo³owski;349,52;4,6;4755;6,47;92,45;12,2;6793,03
Powiat wroc³awski;548,07;4,5;23239;6,62;85,81;1,8;6489,25
Powiat zgorzelecki;12189,12;4,3;13366;3,95;93,64;5,6;5346,28
Powiat z³otoryjski;1,07;4,2;1349;7,98;87,76;13,8;5591,14
Powiat m. Jelenia Góra;896,78;3,7;4205;4,69;108,26;3,8;5646,31
Powiat m. Legnica;6056,05;4,2;6331;8,03;107,58;5,2;5463,27
Powiat m. Wroc³aw;4388,99;5,6;7303;4,38;107,74;1,9;6693,90
Powiat m. Wa³brzych od 2013;3554,47;3,8;10946;6,00;98,79;4,8;6015,80
Powiat aleksandrowski;14,73;4,3;1559;9,20;90,20;13,5;4651,79
Powiat brodnicki;41,24;4,8;2568;8,65;93,59;6,7;4666,18
Powiat bydgoski;43,43;4,0;3192;6,04;85,41;3,9;5167,77
Powiat che³miñski;2,07;3,9;2562;5,97;89,12;12,8;4901,95
Powiat golubsko-dobrzyñski;21,61;3,6;3982;3,40;91,39;12,1;5272,37
Powiat grudzi¹dzki;3,47;3,6;2576;6,91;82,37;13,4;5009,38
Powiat inowroc³awski;1918,56;4,2;4377;6,96;92,78;12,4;4988,03
Powiat lipnowski;26,54;4,3;1183;3,50;88,57;15,6;4455,86
Powiat mogileñski;40,98;4,1;2792;8,20;91,18;10,6;4704,01
Powiat nakielski;70,40;4,2;2135;8,52;90,16;11,6;4822,85
Powiat radziejowski;33,74;4,4;1358;4,02;92,26;18,7;4799,97
Powiat rypiñski;33,85;3,7;1947;3,51;92,03;10,5;4668,80
Powiat œwiecki;1584,14;4,2;4403;6,18;90,30;6,5;5211,03
Powiat toruñski;58,20;4,0;2312;5,66;79,91;10,6;4737,52
Powiat w¹brzeski;20,76;4,9;2723;5,83;86,10;11,7;5091,85
Powiat w³oc³awski;40,63;4,2;2941;2,69;85,87;16,0;4807,59
Powiat ¿niñski;1276,04;4,4;2289;5,48;90,05;9,7;4600,57
Powiat m. Bydgoszcz;5619,13;4,4;4850;6,42;100,64;2,5;5848,22
Powiat m. Grudzi¹dz;3241,45;3,6;3861;7,96;99,95;11,5;4825,20
Powiat m. Toruñ;2575,41;4,7;5329;4,72;104,37;4,0;5841,99
Powiat m. W³oc³awek;24874,58;4,3;13302;5,02;97,27;8,7;5294,49
Powiat bialski;8,23;4,6;2726;3,33;84,34;11,1;4594,45
Powiat bi³gorajski;7,19;4,3;1159;3,89;91,23;6,5;4781,00
Powiat che³mski;0,48;4,5;1207;2,26;79,12;17,5;4637,15
Powiat hrubieszowski;54,56;4,4;882;3,58;86,75;18,1;5019,57
Powiat janowski;0,93;4,9;918;4,82;87,96;13,8;5061,82
Powiat krasnostawski;146,04;4,1;756;5,17;89,35;15,8;4843,32
Powiat kraœnicki;42,11;4,5;1817;4,79;88,18;11,5;4683,04
Powiat lubartowski;25,71;4,3;1805;6,59;91,54;13,8;4824,58
Powiat lubelski;14,96;3,9;1281;3,28;72,07;5,9;4615,93
Powiat ³êczyñski;83,50;4,8;9568;11,73;91,41;6,3;7165,63
Powiat ³ukowski;35,39;5,1;1554;4,19;96,07;4,3;4562,15
Powiat opolski;29,31;4,5;1027;3,16;90,61;9,1;4547,18
Powiat parczewski;14,70;4,0;2200;8,74;89,90;8,5;4881,98
Powiat pu³awski;1975,41;4,0;11495;6,79;93,44;6,6;5680,00
Powiat radzyñski;35,72;4,9;1797;4,87;92,34;8,2;4775,71
Powiat rycki;82,79;4,8;2132;7,40;93,68;7,9;4786,07
Powiat œwidnicki;173,92;4,0;1812;5,83;89,59;9,7;5537,67
Powiat tomaszowski;13,67;4,3;1237;3,81;88,79;9,9;4556,75
Powiat w³odawski;25,56;3,5;527;9,11;88,66;17,6;4724,35
Powiat zamojski;25,52;4,2;1025;2,13;78,69;12,9;4373,85
Powiat m. Bia³a Podlaska;1274,63;4,4;3038;4,07;111,71;9,1;4984,69
Powiat m. Che³m;39594,29;4,0;1920;4,65;105,47;10,2;4945,78
Powiat m. Lublin;5340,01;4,7;5343;5,84;110,07;5,2;5833,53
Powiat m. Zamoœæ;2643,43;3,9;5262;6,66;111,25;8,9;5405,57
Powiat gorzowski;273,26;3,6;6404;4,39;85,62;4,1;5419,18
Powiat kroœnieñski;106,66;4,2;2481;5,19;90,40;7,9;5127,37
Powiat miêdzyrzecki;37,70;3,7;7204;5,57;90,71;7,6;5085,53
Powiat nowosolski;29,93;4,1;7050;5,75;91,94;5,2;5132,85
Powiat s³ubicki;14,32;5,1;3773;3,24;97,55;2,5;4733,20
Powiat strzelecko-drezdenecki;48,15;3,8;7676;4,40;89,79;10,4;5038,23
Powiat sulêciñski;6,20;3,6;4834;8,60;92,00;4,7;4685,18
Powiat œwiebodziñski;48,91;3,9;6629;8,48;93,15;3,2;5242,75
Powiat zielonogórski;90,30;4,2;4446;5,30;86,90;8,6;5392,72
Powiat ¿agañski;53,01;4,4;1692;6,14;88,40;7,1;4823,38
Powiat ¿arski;303,10;3,8;4384;6,68;92,96;5,9;5659,45
Powiat wschowski;0,80;4,6;3494;6,05;92,25;8,5;4866,09
Powiat m. Gorzów Wielkopolski;5163,60;4,9;4654;3,95;104,57;2,6;5242,27
Powiat m. Zielona Góra;2200,37;3,9;6201;5,14;104,48;3,5;5697,74
Powiat be³chatowski;34404,86;4,5;6856;4,76;94,18;5,2;7288,32
Powiat kutnowski;160,26;4,1;6791;7,48;96,55;8,5;5228,84
Powiat ³aski;31,95;4,1;4015;4,94;90,21;8,2;4475,37
Powiat ³owicki;79,05;4,3;2023;6,74;96,00;5,6;4866,80
Powiat ³ódzki wschodni;26,61;3,9;4654;3,24;87,80;5,8;4921,85
Powiat opoczyñski;172,45;4,8;3106;4,10;94,13;7,8;4877,79
Powiat pabianicki;113,91;3,8;3474;5,11;91,26;6,5;5097,18
Powiat pajêczañski;2136,31;4,8;4604;1,71;93,14;9,4;4878,09
Powiat piotrkowski;10,64;4,5;1036;4,56;88,01;6,8;4657,40
