"Kod";"Nazwa";"emisja ogółem na km2;2021;[t]";
0201000;"Powiat bolesławiecki";30,77;
0202000;"Powiat dzierżoniowski";41,38;
0203000;"Powiat głogowski";2355,43;
0204000;"Powiat górowski";5,29;
0205000;"Powiat jaworski";35,87;
0206000;"Powiat karkonoski";35,03;
0207000;"Powiat kamiennogórski";35,61;
0208000;"Powiat kłodzki";24,16;
0209000;"Powiat legnicki";57,37;
0210000;"Powiat lubański";45,86;
0211000;"Powiat lubiński";233,57;
0212000;"Powiat lwówecki";1,18;
0214000;"Powiat oleśnicki";36,98;
0215000;"Powiat oławski";139,76;
0216000;"Powiat polkowicki";270,73;
0217000;"Powiat strzeliński";117,51;
0218000;"Powiat średzki";67,46;
0219000;"Powiat świdnicki";170,59;
0220000;"Powiat trzebnicki";0,42;
0221000;"Powiat wałbrzyski";2,56;
0222000;"Powiat wołowski";349,52;
0223000;"Powiat wrocławski";548,07;
0225000;"Powiat zgorzelecki";12189,12;
0226000;"Powiat złotoryjski";1,07;
0261000;"Powiat m. Jelenia Góra";896,78;
0262000;"Powiat m. Legnica";6056,05;
0264000;"Powiat m. Wrocław";4388,99;
0265000;"Powiat m. Wałbrzych od 2013";3554,47;
0401000;"Powiat aleksandrowski";14,73;
0402000;"Powiat brodnicki";41,24;
0403000;"Powiat bydgoski";43,43;
0404000;"Powiat chełmiński";2,07;
0405000;"Powiat golubsko-dobrzyński";21,61;
0406000;"Powiat grudziądzki";3,47;
0407000;"Powiat inowrocławski";1918,56;
0408000;"Powiat lipnowski";26,54;
0409000;"Powiat mogileński";40,98;
0410000;"Powiat nakielski";70,40;
0411000;"Powiat radziejowski";33,74;
0412000;"Powiat rypiński";33,85;
0414000;"Powiat świecki";1584,14;
0415000;"Powiat toruński";58,20;
0417000;"Powiat wąbrzeski";20,76;
0418000;"Powiat włocławski";40,63;
0419000;"Powiat żniński";1276,04;
0461000;"Powiat m. Bydgoszcz";5619,13;
0462000;"Powiat m. Grudziądz";3241,45;
0463000;"Powiat m. Toruń";2575,41;
0464000;"Powiat m. Włocławek";24874,58;
