"Kod";"Nazwa";"dwutlenek siarki na 1 mieszkańca;2021;[kg]";
011212000000;"PODREGION KRAKOWSKI";1,0;
011212100000;"PODREGION MIASTO KRAKÓW";1,7;
011212200000;"PODREGION NOWOSĄDECKI";0,8;
011212300000;"PODREGION OŚWIĘCIMSKI";5,5;
011212400000;"PODREGION TARNOWSKI";2,0;
011216900000;"PODREGION NOWOTARSKI";0,3;
012414400000;"PODREGION BIELSKI";2,4;
012414500000;"PODREGION BYTOMSKI";4,5;
012414600000;"PODREGION CZĘSTOCHOWSKI";2,6;
012414700000;"PODREGION GLIWICKI";4,4;
012414800000;"PODREGION KATOWICKI";4,3;
012414900000;"PODREGION RYBNICKI";8,0;
012415000000;"PODREGION SOSNOWIECKI";17,7;
012415100000;"PODREGION TYSKI";9,2;
020811300000;"PODREGION GORZOWSKI";2,3;
020811400000;"PODREGION ZIELONOGÓRSKI";1,2;
023015700000;"PODREGION KALISKI";1,6;
023015800000;"PODREGION KONIŃSKI";3,3;
023015900000;"PODREGION LESZCZYŃSKI";2,0;
023016000000;"PODREGION PILSKI";2,6;
023016100000;"PODREGION POZNAŃSKI";1,0;
023016200000;"PODREGION MIASTO POZNAŃ";2,0;
023216300000;"PODREGION KOSZALIŃSKI";2,1;
023216400000;"PODREGION SZCZECINECKO-PYRZYCKI";2,4;
023216500000;"PODREGION MIASTO SZCZECIN";2,2;
023216600000;"PODREGION SZCZECIŃSKI";7,2;
030210100000;"PODREGION JELENIOGÓRSKI";8,5;
030210200000;"PODREGION LEGNICKO-GŁOGOWSKI";4,9;
030210300000;"PODREGION WAŁBRZYSKI";1,2;
030210400000;"PODREGION WROCŁAWSKI";3,2;
030210500000;"PODREGION MIASTO WROCŁAW";1,0;
031613100000;"PODREGION NYSKI";1,8;
031613200000;"PODREGION OPOLSKI";9,7;
040410600000;"PODREGION BYDGOSKO-TORUŃSKI";3,8;
040410700000;"PODREGION GRUDZIĄDZKI";1,1;
040410800000;"PODREGION WŁOCŁAWSKI";1,5;
040416700000;"PODREGION INOWROCŁAWSKI";6,6;
040416800000;"PODREGION ŚWIECKI";3,3;
042214000000;"PODREGION GDAŃSKI";0,4;
042214100000;"PODREGION SŁUPSKI";2,3;
042214200000;"PODREGION STAROGARDZKI";3,5;
042214300000;"PODREGION TRÓJMIEJSKI";3,7;
042217200000;"PODREGION CHOJNICKI";0,8;
042815400000;"PODREGION ELBLĄSKI";2,6;
042815500000;"PODREGION EŁCKI";1,5;
042815600000;"PODREGION OLSZTYŃSKI";3,1;
051011500000;"PODREGION ŁÓDZKI";3,2;
051011600000;"PODREGION MIASTO ŁÓDŹ";1,9;
051011700000;"PODREGION PIOTRKOWSKI";79,6;
051011800000;"PODREGION SIERADZKI";2,8;
051011900000;"PODREGION SKIERNIEWICKI";1,8;
052615200000;"PODREGION KIELECKI";3,9;
052615300000;"PODREGION SANDOMIERSKO-JĘDRZEJOWSKI";30,9;
060610900000;"PODREGION BIALSKI";1,2;
060611000000;"PODREGION CHEŁMSKO-ZAMOJSKI";1,9;
060611100000;"PODREGION LUBELSKI";1,3;
060611200000;"PODREGION PUŁAWSKI";3,1;
061813300000;"PODREGION KROŚNIEŃSKI";1,6;
061813400000;"PODREGION PRZEMYSKI";1,0;
061813500000;"PODREGION RZESZOWSKI";1,6;
061813600000;"PODREGION TARNOBRZESKI";1,9;
062013700000;"PODREGION BIAŁOSTOCKI";0,6;
062013800000;"PODREGION ŁOMŻYŃSKI";1,7;
062013900000;"PODREGION SUWALSKI";1,9;
071412800000;"PODREGION MIASTO WARSZAWA";2,4;
071412900000;"PODREGION WARSZAWSKI WSCHODNI";0,7;
071413000000;"PODREGION WARSZAWSKI ZACHODNI";0,6;
071422500000;"PODREGION CIECHANOWSKI";2,8;
071422600000;"PODREGION OSTROŁĘCKI";5,1;
071422700000;"PODREGION RADOMSKI";16,5;
071427000000;"PODREGION PŁOCKI";13,5;
071427100000;"PODREGION SIEDLECKI";0,9;
071427300000;"PODREGION ŻYRARDOWSKI";1,2;
