"Kod";"Nazwa";"nakłady inwestycyjne w przedsiębiorstwach na 1 mieszkańca;2021;[zł]";
011212000000;"PODREGION KRAKOWSKI";2944;
011212100000;"PODREGION MIASTO KRAKÓW";6055;
011212200000;"PODREGION NOWOSĄDECKI";2695;
011212300000;"PODREGION OŚWIĘCIMSKI";4635;
011212400000;"PODREGION TARNOWSKI";2825;
011216900000;"PODREGION NOWOTARSKI";2589;
012414400000;"PODREGION BIELSKI";5118;
012414500000;"PODREGION BYTOMSKI";2875;
012414600000;"PODREGION CZĘSTOCHOWSKI";3252;
012414700000;"PODREGION GLIWICKI";7665;
012414800000;"PODREGION KATOWICKI";5655;
012414900000;"PODREGION RYBNICKI";4494;
012415000000;"PODREGION SOSNOWIECKI";5157;
012415100000;"PODREGION TYSKI";7001;
020811300000;"PODREGION GORZOWSKI";5661;
020811400000;"PODREGION ZIELONOGÓRSKI";4815;
023015700000;"PODREGION KALISKI";5641;
023015800000;"PODREGION KONIŃSKI";4265;
023015900000;"PODREGION LESZCZYŃSKI";4504;
023016000000;"PODREGION PILSKI";4317;
023016100000;"PODREGION POZNAŃSKI";6385;
023016200000;"PODREGION MIASTO POZNAŃ";8983;
023216300000;"PODREGION KOSZALIŃSKI";2731;
023216400000;"PODREGION SZCZECINECKO-PYRZYCKI";3125;
023216500000;"PODREGION MIASTO SZCZECIN";5429;
023216600000;"PODREGION SZCZECIŃSKI";8220;
030210100000;"PODREGION JELENIOGÓRSKI";6209;
030210200000;"PODREGION LEGNICKO-GŁOGOWSKI";8995;
030210300000;"PODREGION WAŁBRZYSKI";3833;
030210400000;"PODREGION WROCŁAWSKI";10145;
030210500000;"PODREGION MIASTO WROCŁAW";7303;
031613100000;"PODREGION NYSKI";3691;
031613200000;"PODREGION OPOLSKI";4851;
040410600000;"PODREGION BYDGOSKO-TORUŃSKI";4339;
040410700000;"PODREGION GRUDZIĄDZKI";2988;
040410800000;"PODREGION WŁOCŁAWSKI";5360;
040416700000;"PODREGION INOWROCŁAWSKI";3233;
040416800000;"PODREGION ŚWIECKI";3440;
042214000000;"PODREGION GDAŃSKI";3629;
042214100000;"PODREGION SŁUPSKI";3846;
042214200000;"PODREGION STAROGARDZKI";3170;
042214300000;"PODREGION TRÓJMIEJSKI";8545;
042217200000;"PODREGION CHOJNICKI";2798;
042815400000;"PODREGION ELBLĄSKI";2785;
042815500000;"PODREGION EŁCKI";2861;
042815600000;"PODREGION OLSZTYŃSKI";4502;
051011500000;"PODREGION ŁÓDZKI";4722;
051011600000;"PODREGION MIASTO ŁÓDŹ";4950;
051011700000;"PODREGION PIOTRKOWSKI";4217;
051011800000;"PODREGION SIERADZKI";3313;
051011900000;"PODREGION SKIERNIEWICKI";3577;
052615200000;"PODREGION KIELECKI";3314;
052615300000;"PODREGION SANDOMIERSKO-JĘDRZEJOWSKI";2048;
060610900000;"PODREGION BIALSKI";2265;
060611000000;"PODREGION CHEŁMSKO-ZAMOJSKI";1573;
060611100000;"PODREGION LUBELSKI";3973;
060611200000;"PODREGION PUŁAWSKI";3923;
061813300000;"PODREGION KROŚNIEŃSKI";2859;
061813400000;"PODREGION PRZEMYSKI";4736;
061813500000;"PODREGION RZESZOWSKI";4663;
061813600000;"PODREGION TARNOBRZESKI";3719;
062013700000;"PODREGION BIAŁOSTOCKI";3547;
062013800000;"PODREGION ŁOMŻYŃSKI";5123;
062013900000;"PODREGION SUWALSKI";2996;
071412800000;"PODREGION MIASTO WARSZAWA";19592;
071412900000;"PODREGION WARSZAWSKI WSCHODNI";2969;
071413000000;"PODREGION WARSZAWSKI ZACHODNI";6907;
071422500000;"PODREGION CIECHANOWSKI";2933;
071422600000;"PODREGION OSTROŁĘCKI";3665;
071422700000;"PODREGION RADOMSKI";3089;
071427000000;"PODREGION PŁOCKI";11900;
071427100000;"PODREGION SIEDLECKI";3433;
071427300000;"PODREGION ŻYRARDOWSKI";6340;
