"Kod";"Nazwa";"nakłady inwestycyjne w przedsiębiorstwach na 1 mieszkańca;2021;[zł]";
0201000;"Powiat bolesławiecki";6186;
0202000;"Powiat dzierżoniowski";2174;
0203000;"Powiat głogowski";7549;
0204000;"Powiat górowski";608;
0205000;"Powiat jaworski";16337;
0206000;"Powiat karkonoski";3544;
0207000;"Powiat kamiennogórski";2521;
0208000;"Powiat kłodzki";1705;
0209000;"Powiat legnicki";5011;
0210000;"Powiat lubański";2198;
0211000;"Powiat lubiński";7786;
0212000;"Powiat lwówecki";1019;
0213000;"Powiat milicki";2001;
0214000;"Powiat oleśnicki";2833;
0215000;"Powiat oławski";9306;
0216000;"Powiat polkowicki";25270;
0217000;"Powiat strzeliński";2431;
0218000;"Powiat średzki";8082;
0219000;"Powiat świdnicki";3720;
0220000;"Powiat trzebnicki";4603;
0221000;"Powiat wałbrzyski";1562;
0222000;"Powiat wołowski";4755;
0223000;"Powiat wrocławski";23239;
0224000;"Powiat ząbkowicki";1958;
0225000;"Powiat zgorzelecki";13366;
0226000;"Powiat złotoryjski";1349;
0261000;"Powiat m. Jelenia Góra";4205;
0262000;"Powiat m. Legnica";6331;
0264000;"Powiat m. Wrocław";7303;
0265000;"Powiat m. Wałbrzych od 2013";10946;
0401000;"Powiat aleksandrowski";1559;
0402000;"Powiat brodnicki";2568;
0403000;"Powiat bydgoski";3192;
0404000;"Powiat chełmiński";2562;
0405000;"Powiat golubsko-dobrzyński";3982;
0406000;"Powiat grudziądzki";2576;
0407000;"Powiat inowrocławski";4377;
0408000;"Powiat lipnowski";1183;
0409000;"Powiat mogileński";2792;
0410000;"Powiat nakielski";2135;
0411000;"Powiat radziejowski";1358;
0412000;"Powiat rypiński";1947;
0413000;"Powiat sępoleński";1201;
0414000;"Powiat świecki";4403;
0415000;"Powiat toruński";2312;
0416000;"Powiat tucholski";3354;
0417000;"Powiat wąbrzeski";2723;
0418000;"Powiat włocławski";2941;
0419000;"Powiat żniński";2289;
0461000;"Powiat m. Bydgoszcz";4850;
0462000;"Powiat m. Grudziądz";3861;
0463000;"Powiat m. Toruń";5329;
0464000;"Powiat m. Włocławek";13302;
0601000;"Powiat bialski";2726;
0602000;"Powiat biłgorajski";1159;
0603000;"Powiat chełmski";1207;
0604000;"Powiat hrubieszowski";882;
0605000;"Powiat janowski";918;
0606000;"Powiat krasnostawski";756;
0607000;"Powiat kraśnicki";1817;
0608000;"Powiat lubartowski";1805;
0609000;"Powiat lubelski";1281;
0610000;"Powiat łęczyński";9568;
0611000;"Powiat łukowski";1554;
0612000;"Powiat opolski";1027;
0613000;"Powiat parczewski";2200;
0614000;"Powiat puławski";11495;
0615000;"Powiat radzyński";1797;
0616000;"Powiat rycki";2132;
0617000;"Powiat świdnicki";1812;
0618000;"Powiat tomaszowski";1237;
0619000;"Powiat włodawski";527;
0620000;"Powiat zamojski";1025;
0661000;"Powiat m. Biała Podlaska";3038;
0662000;"Powiat m. Chełm";1920;
0663000;"Powiat m. Lublin";5343;
0664000;"Powiat m. Zamość";5262;
0801000;"Powiat gorzowski";6404;
0802000;"Powiat krośnieński";2481;
0803000;"Powiat międzyrzecki";7204;
0804000;"Powiat nowosolski";7050;
0805000;"Powiat słubicki";3773;
0806000;"Powiat strzelecko-drezdenecki";7676;
0807000;"Powiat sulęciński";4834;
0808000;"Powiat świebodziński";6629;
0809000;"Powiat zielonogórski";4446;
0810000;"Powiat żagański";1692;
0811000;"Powiat żarski";4384;
0812000;"Powiat wschowski";3494;
0861000;"Powiat m. Gorzów Wielkopolski";4654;
0862000;"Powiat m. Zielona Góra";6201;
1001000;"Powiat bełchatowski";6856;
1002000;"Powiat kutnowski";6791;
1003000;"Powiat łaski";4015;
1004000;"Powiat łęczycki";1744;
1005000;"Powiat łowicki";2023;
1006000;"Powiat łódzki wschodni";4654;
1007000;"Powiat opoczyński";3106;
1008000;"Powiat pabianicki";3474;
