"Kod";"Nazwa";"poszkodowani w wypadkach przy pracy na 1000 pracujących ogółem;2021;[osoba]";
011212000000;"PODREGION KRAKOWSKI";3,79;
011212100000;"PODREGION MIASTO KRAKÓW";3,32;
011212200000;"PODREGION NOWOSĄDECKI";4,59;
011212300000;"PODREGION OŚWIĘCIMSKI";4,84;
011212400000;"PODREGION TARNOWSKI";4,36;
011216900000;"PODREGION NOWOTARSKI";3,47;
012414400000;"PODREGION BIELSKI";4,75;
012414500000;"PODREGION BYTOMSKI";5,45;
012414600000;"PODREGION CZĘSTOCHOWSKI";3,76;
012414700000;"PODREGION GLIWICKI";6,65;
012414800000;"PODREGION KATOWICKI";6,44;
012414900000;"PODREGION RYBNICKI";6,84;
012415000000;"PODREGION SOSNOWIECKI";6,27;
012415100000;"PODREGION TYSKI";7,96;
020811300000;"PODREGION GORZOWSKI";4,51;
020811400000;"PODREGION ZIELONOGÓRSKI";5,95;
023015700000;"PODREGION KALISKI";5,51;
023015800000;"PODREGION KONIŃSKI";5,22;
023015900000;"PODREGION LESZCZYŃSKI";6,12;
023016000000;"PODREGION PILSKI";6,65;
023016100000;"PODREGION POZNAŃSKI";5,65;
023016200000;"PODREGION MIASTO POZNAŃ";4,53;
023216300000;"PODREGION KOSZALIŃSKI";7,20;
023216400000;"PODREGION SZCZECINECKO-PYRZYCKI";5,34;
023216500000;"PODREGION MIASTO SZCZECIN";4,68;
023216600000;"PODREGION SZCZECIŃSKI";5,88;
030210100000;"PODREGION JELENIOGÓRSKI";5,61;
030210200000;"PODREGION LEGNICKO-GŁOGOWSKI";7,66;
030210300000;"PODREGION WAŁBRZYSKI";5,80;
030210400000;"PODREGION WROCŁAWSKI";6,61;
030210500000;"PODREGION MIASTO WROCŁAW";4,38;
031613100000;"PODREGION NYSKI";5,73;
031613200000;"PODREGION OPOLSKI";6,56;
040410600000;"PODREGION BYDGOSKO-TORUŃSKI";5,82;
040410700000;"PODREGION GRUDZIĄDZKI";6,66;
040410800000;"PODREGION WŁOCŁAWSKI";4,85;
040416700000;"PODREGION INOWROCŁAWSKI";7,19;
040416800000;"PODREGION ŚWIECKI";6,24;
042214000000;"PODREGION GDAŃSKI";4,98;
042214100000;"PODREGION SŁUPSKI";6,80;
042214200000;"PODREGION STAROGARDZKI";5,48;
042214300000;"PODREGION TRÓJMIEJSKI";4,40;
042217200000;"PODREGION CHOJNICKI";7,13;
042815400000;"PODREGION ELBLĄSKI";6,54;
042815500000;"PODREGION EŁCKI";6,10;
042815600000;"PODREGION OLSZTYŃSKI";5,91;
051011500000;"PODREGION ŁÓDZKI";4,88;
051011600000;"PODREGION MIASTO ŁÓDŹ";5,09;
051011700000;"PODREGION PIOTRKOWSKI";4,70;
051011800000;"PODREGION SIERADZKI";5,26;
051011900000;"PODREGION SKIERNIEWICKI";6,66;
052615200000;"PODREGION KIELECKI";5,93;
052615300000;"PODREGION SANDOMIERSKO-JĘDRZEJOWSKI";4,07;
060610900000;"PODREGION BIALSKI";4,94;
060611000000;"PODREGION CHEŁMSKO-ZAMOJSKI";4,25;
060611100000;"PODREGION LUBELSKI";5,99;
060611200000;"PODREGION PUŁAWSKI";5,37;
061813300000;"PODREGION KROŚNIEŃSKI";5,14;
061813400000;"PODREGION PRZEMYSKI";4,80;
061813500000;"PODREGION RZESZOWSKI";4,56;
061813600000;"PODREGION TARNOBRZESKI";4,17;
062013700000;"PODREGION BIAŁOSTOCKI";5,85;
062013800000;"PODREGION ŁOMŻYŃSKI";8,02;
062013900000;"PODREGION SUWALSKI";5,92;
071412800000;"PODREGION MIASTO WARSZAWA";3,43;
071412900000;"PODREGION WARSZAWSKI WSCHODNI";3,50;
071413000000;"PODREGION WARSZAWSKI ZACHODNI";3,41;
071422500000;"PODREGION CIECHANOWSKI";4,32;
071422600000;"PODREGION OSTROŁĘCKI";4,28;
071422700000;"PODREGION RADOMSKI";3,54;
071427000000;"PODREGION PŁOCKI";3,92;
071427100000;"PODREGION SIEDLECKI";5,13;
071427300000;"PODREGION ŻYRARDOWSKI";3,82;
