"Kod";"Nazwa";"poszkodowani w wypadkach przy pracy na 1000 pracujących ogółem;2021;[osoba]";
0201000;"Powiat bolesławiecki";7,76;
0202000;"Powiat dzierżoniowski";4,81;
0203000;"Powiat głogowski";6,72;
0204000;"Powiat górowski";7,75;
0205000;"Powiat jaworski";5,92;
0206000;"Powiat karkonoski";4,60;
0207000;"Powiat kamiennogórski";5,04;
0208000;"Powiat kłodzki";4,10;
0209000;"Powiat legnicki";8,44;
0210000;"Powiat lubański";5,34;
0211000;"Powiat lubiński";6,72;
0212000;"Powiat lwówecki";6,60;
0213000;"Powiat milicki";4,02;
0214000;"Powiat oleśnicki";6,64;
0215000;"Powiat oławski";10,12;
0216000;"Powiat polkowicki";8,35;
0217000;"Powiat strzeliński";4,38;
0218000;"Powiat średzki";5,35;
0219000;"Powiat świdnicki";7,70;
0220000;"Powiat trzebnicki";4,76;
0221000;"Powiat wałbrzyski";4,64;
0222000;"Powiat wołowski";6,47;
0223000;"Powiat wrocławski";6,62;
0224000;"Powiat ząbkowicki";5,40;
0225000;"Powiat zgorzelecki";3,95;
0226000;"Powiat złotoryjski";7,98;
0261000;"Powiat m. Jelenia Góra";4,69;
0262000;"Powiat m. Legnica";8,03;
0264000;"Powiat m. Wrocław";4,38;
0265000;"Powiat m. Wałbrzych od 2013";6,00;
0401000;"Powiat aleksandrowski";9,20;
0402000;"Powiat brodnicki";8,65;
0403000;"Powiat bydgoski";6,04;
0404000;"Powiat chełmiński";5,97;
0405000;"Powiat golubsko-dobrzyński";3,40;
0406000;"Powiat grudziądzki";6,91;
0407000;"Powiat inowrocławski";6,96;
0408000;"Powiat lipnowski";3,50;
0409000;"Powiat mogileński";8,20;
0410000;"Powiat nakielski";8,52;
0411000;"Powiat radziejowski";4,02;
0412000;"Powiat rypiński";3,51;
0413000;"Powiat sępoleński";7,54;
0414000;"Powiat świecki";6,18;
0415000;"Powiat toruński";5,66;
0416000;"Powiat tucholski";5,27;
0417000;"Powiat wąbrzeski";5,83;
0418000;"Powiat włocławski";2,69;
0419000;"Powiat żniński";5,48;
0461000;"Powiat m. Bydgoszcz";6,42;
0462000;"Powiat m. Grudziądz";7,96;
0463000;"Powiat m. Toruń";4,72;
0464000;"Powiat m. Włocławek";5,02;
0601000;"Powiat bialski";3,33;
0602000;"Powiat biłgorajski";3,89;
0603000;"Powiat chełmski";2,26;
0604000;"Powiat hrubieszowski";3,58;
0605000;"Powiat janowski";4,82;
0606000;"Powiat krasnostawski";5,17;
0607000;"Powiat kraśnicki";4,79;
0608000;"Powiat lubartowski";6,59;
0609000;"Powiat lubelski";3,28;
0610000;"Powiat łęczyński";11,73;
0611000;"Powiat łukowski";4,19;
0612000;"Powiat opolski";3,16;
0613000;"Powiat parczewski";8,74;
0614000;"Powiat puławski";6,79;
0615000;"Powiat radzyński";4,87;
0616000;"Powiat rycki";7,40;
0617000;"Powiat świdnicki";5,83;
0618000;"Powiat tomaszowski";3,81;
0619000;"Powiat włodawski";9,11;
0620000;"Powiat zamojski";2,13;
0661000;"Powiat m. Biała Podlaska";4,07;
0662000;"Powiat m. Chełm";4,65;
0663000;"Powiat m. Lublin";5,84;
0664000;"Powiat m. Zamość";6,66;
0801000;"Powiat gorzowski";4,39;
0802000;"Powiat krośnieński";5,19;
0803000;"Powiat międzyrzecki";5,57;
0804000;"Powiat nowosolski";5,75;
0805000;"Powiat słubicki";3,24;
0806000;"Powiat strzelecko-drezdenecki";4,40;
0807000;"Powiat sulęciński";8,60;
0808000;"Powiat świebodziński";8,48;
0809000;"Powiat zielonogórski";5,30;
0810000;"Powiat żagański";6,14;
0811000;"Powiat żarski";6,68;
0812000;"Powiat wschowski";6,05;
0861000;"Powiat m. Gorzów Wielkopolski";3,95;
0862000;"Powiat m. Zielona Góra";5,14;
1001000;"Powiat bełchatowski";4,76;
1002000;"Powiat kutnowski";7,48;
1003000;"Powiat łaski";4,94;
1004000;"Powiat łęczycki";6,42;
1005000;"Powiat łowicki";6,74;
1006000;"Powiat łódzki wschodni";3,24;
1007000;"Powiat opoczyński";4,10;
1008000;"Powiat pabianicki";5,11;
1009000;"Powiat pajęczański";1,71;
1010000;"Powiat piotrkowski";4,56;
1011000;"Powiat poddębicki";3,06;
1012000;"Powiat radomszczański";5,79;
