"Kod";"Nazwa";"przestępstwa stwierdzone przez Policję ogółem na 1000 mieszkańców;2021;[-]";
011212000000;"PODREGION KRAKOWSKI";14,73;
011212100000;"PODREGION MIASTO KRAKÓW";23,88;
011212200000;"PODREGION NOWOSĄDECKI";27,79;
011212300000;"PODREGION OŚWIĘCIMSKI";17,40;
011212400000;"PODREGION TARNOWSKI";21,83;
011216900000;"PODREGION NOWOTARSKI";15,65;
012414400000;"PODREGION BIELSKI";21,70;
012414500000;"PODREGION BYTOMSKI";21,66;
012414600000;"PODREGION CZĘSTOCHOWSKI";18,61;
012414700000;"PODREGION GLIWICKI";24,84;
012414800000;"PODREGION KATOWICKI";46,95;
012414900000;"PODREGION RYBNICKI";21,26;
012415000000;"PODREGION SOSNOWIECKI";36,15;
012415100000;"PODREGION TYSKI";19,10;
020811300000;"PODREGION GORZOWSKI";30,18;
020811400000;"PODREGION ZIELONOGÓRSKI";25,90;
023015700000;"PODREGION KALISKI";18,02;
023015800000;"PODREGION KONIŃSKI";19,37;
023015900000;"PODREGION LESZCZYŃSKI";16,49;
023016000000;"PODREGION PILSKI";17,98;
023016100000;"PODREGION POZNAŃSKI";17,48;
023016200000;"PODREGION MIASTO POZNAŃ";26,66;
023216300000;"PODREGION KOSZALIŃSKI";21,70;
023216400000;"PODREGION SZCZECINECKO-PYRZYCKI";22,36;
023216500000;"PODREGION MIASTO SZCZECIN";31,28;
023216600000;"PODREGION SZCZECIŃSKI";21,56;
030210100000;"PODREGION JELENIOGÓRSKI";34,78;
030210200000;"PODREGION LEGNICKO-GŁOGOWSKI";33,16;
030210300000;"PODREGION WAŁBRZYSKI";26,08;
030210400000;"PODREGION WROCŁAWSKI";18,86;
030210500000;"PODREGION MIASTO WROCŁAW";30,38;
031613100000;"PODREGION NYSKI";18,50;
031613200000;"PODREGION OPOLSKI";17,96;
040410600000;"PODREGION BYDGOSKO-TORUŃSKI";22,97;
040410700000;"PODREGION GRUDZIĄDZKI";16,75;
040410800000;"PODREGION WŁOCŁAWSKI";21,59;
040416700000;"PODREGION INOWROCŁAWSKI";18,06;
040416800000;"PODREGION ŚWIECKI";17,07;
042214000000;"PODREGION GDAŃSKI";18,45;
042214100000;"PODREGION SŁUPSKI";19,41;
042214200000;"PODREGION STAROGARDZKI";18,46;
042214300000;"PODREGION TRÓJMIEJSKI";28,86;
042217200000;"PODREGION CHOJNICKI";16,10;
042815400000;"PODREGION ELBLĄSKI";19,89;
042815500000;"PODREGION EŁCKI";17,85;
042815600000;"PODREGION OLSZTYŃSKI";17,41;
051011500000;"PODREGION ŁÓDZKI";17,71;
051011600000;"PODREGION MIASTO ŁÓDŹ";24,70;
051011700000;"PODREGION PIOTRKOWSKI";16,99;
051011800000;"PODREGION SIERADZKI";36,20;
051011900000;"PODREGION SKIERNIEWICKI";17,65;
052615200000;"PODREGION KIELECKI";21,01;
052615300000;"PODREGION SANDOMIERSKO-JĘDRZEJOWSKI";15,39;
060610900000;"PODREGION BIALSKI";15,73;
060611000000;"PODREGION CHEŁMSKO-ZAMOJSKI";16,20;
060611100000;"PODREGION LUBELSKI";18,08;
060611200000;"PODREGION PUŁAWSKI";13,87;
061813300000;"PODREGION KROŚNIEŃSKI";16,85;
061813400000;"PODREGION PRZEMYSKI";10,88;
061813500000;"PODREGION RZESZOWSKI";13,59;
061813600000;"PODREGION TARNOBRZESKI";13,88;
062013700000;"PODREGION BIAŁOSTOCKI";17,26;
062013800000;"PODREGION ŁOMŻYŃSKI";14,20;
062013900000;"PODREGION SUWALSKI";14,17;
071412800000;"PODREGION MIASTO WARSZAWA";26,58;
071412900000;"PODREGION WARSZAWSKI WSCHODNI";21,02;
071413000000;"PODREGION WARSZAWSKI ZACHODNI";19,33;
071422500000;"PODREGION CIECHANOWSKI";19,26;
071422600000;"PODREGION OSTROŁĘCKI";18,38;
071422700000;"PODREGION RADOMSKI";17,38;
071427000000;"PODREGION PŁOCKI";24,33;
071427100000;"PODREGION SIEDLECKI";16,92;
071427300000;"PODREGION ŻYRARDOWSKI";21,88;
