"Kod";"Nazwa";"współczynnik skolaryzacji netto;szkoły podstawowe;2021;[%]";
0201000;"Powiat bolesławiecki";94,49;
0202000;"Powiat dzierżoniowski";92,38;
0203000;"Powiat głogowski";95,44;
0204000;"Powiat górowski";90,65;
0205000;"Powiat jaworski";87,98;
0206000;"Powiat karkonoski";78,55;
0207000;"Powiat kamiennogórski";89,91;
0208000;"Powiat kłodzki";91,09;
0209000;"Powiat legnicki";79,95;
0210000;"Powiat lubański";92,77;
0211000;"Powiat lubiński";98,07;
0212000;"Powiat lwówecki";85,90;
0213000;"Powiat milicki";94,19;
0214000;"Powiat oleśnicki";93,52;
0215000;"Powiat oławski";95,88;
0216000;"Powiat polkowicki";91,40;
0217000;"Powiat strzeliński";88,84;
0218000;"Powiat średzki";85,68;
0219000;"Powiat świdnicki";94,24;
0220000;"Powiat trzebnicki";90,64;
0221000;"Powiat wałbrzyski";83,48;
0222000;"Powiat wołowski";92,45;
0223000;"Powiat wrocławski";85,81;
0224000;"Powiat ząbkowicki";87,05;
0225000;"Powiat zgorzelecki";93,64;
0226000;"Powiat złotoryjski";87,76;
0261000;"Powiat m. Jelenia Góra";108,26;
0262000;"Powiat m. Legnica";107,58;
0263000;"Powiat m. Wałbrzych do 2002";;
0264000;"Powiat m. Wrocław";107,74;
0265000;"Powiat m. Wałbrzych od 2013";98,79;
0401000;"Powiat aleksandrowski";90,20;
0402000;"Powiat brodnicki";93,59;
0403000;"Powiat bydgoski";85,41;
0404000;"Powiat chełmiński";89,12;
0405000;"Powiat golubsko-dobrzyński";91,39;
0406000;"Powiat grudziądzki";82,37;
0407000;"Powiat inowrocławski";92,78;
0408000;"Powiat lipnowski";88,57;
0409000;"Powiat mogileński";91,18;
0410000;"Powiat nakielski";90,16;
0411000;"Powiat radziejowski";92,26;
0412000;"Powiat rypiński";92,03;
0413000;"Powiat sępoleński";85,74;
0414000;"Powiat świecki";90,30;
0415000;"Powiat toruński";79,91;
0416000;"Powiat tucholski";91,38;
0417000;"Powiat wąbrzeski";86,10;
0418000;"Powiat włocławski";85,87;
0419000;"Powiat żniński";90,05;
0461000;"Powiat m. Bydgoszcz";100,64;
0462000;"Powiat m. Grudziądz";99,95;
0463000;"Powiat m. Toruń";104,37;
0464000;"Powiat m. Włocławek";97,27;
0601000;"Powiat bialski";84,34;
0602000;"Powiat biłgorajski";91,23;
0603000;"Powiat chełmski";79,12;
0604000;"Powiat hrubieszowski";86,75;
0605000;"Powiat janowski";87,96;
0606000;"Powiat krasnostawski";89,35;
0607000;"Powiat kraśnicki";88,18;
0608000;"Powiat lubartowski";91,54;
0609000;"Powiat lubelski";72,07;
0610000;"Powiat łęczyński";91,41;
0611000;"Powiat łukowski";96,07;
0612000;"Powiat opolski";90,61;
0613000;"Powiat parczewski";89,90;
0614000;"Powiat puławski";93,44;
0615000;"Powiat radzyński";92,34;
0616000;"Powiat rycki";93,68;
0617000;"Powiat świdnicki";89,59;
0618000;"Powiat tomaszowski";88,79;
0619000;"Powiat włodawski";88,66;
0620000;"Powiat zamojski";78,69;
0661000;"Powiat m. Biała Podlaska";111,71;
0662000;"Powiat m. Chełm";105,47;
0663000;"Powiat m. Lublin";110,07;
0664000;"Powiat m. Zamość";111,25;
0801000;"Powiat gorzowski";85,62;
0802000;"Powiat krośnieński";90,40;
0803000;"Powiat międzyrzecki";90,71;
0804000;"Powiat nowosolski";91,94;
0805000;"Powiat słubicki";97,55;
0806000;"Powiat strzelecko-drezdenecki";89,79;
0807000;"Powiat sulęciński";92,00;
0808000;"Powiat świebodziński";93,15;
