"Kod";"Nazwa";"ogółem;2021;[%]";
0201000;"Powiat bolesławiecki";5,1;
0202000;"Powiat dzierżoniowski";5,5;
0203000;"Powiat głogowski";7,7;
0204000;"Powiat górowski";18,3;
0205000;"Powiat jaworski";10,8;
0206000;"Powiat karkonoski";10,5;
0207000;"Powiat kamiennogórski";6,6;
0208000;"Powiat kłodzki";12,5;
0209000;"Powiat legnicki";8,4;
0210000;"Powiat lubański";8,0;
0211000;"Powiat lubiński";4,0;
0212000;"Powiat lwówecki";9,5;
0213000;"Powiat milicki";5,8;
0214000;"Powiat oleśnicki";6,0;
0215000;"Powiat oławski";4,0;
0216000;"Powiat polkowicki";4,9;
0217000;"Powiat strzeliński";11,8;
0218000;"Powiat średzki";5,8;
0219000;"Powiat świdnicki";5,7;
0220000;"Powiat trzebnicki";5,1;
0221000;"Powiat wałbrzyski";13,9;
0222000;"Powiat wołowski";12,2;
0223000;"Powiat wrocławski";1,8;
0224000;"Powiat ząbkowicki";9,7;
0225000;"Powiat zgorzelecki";5,6;
0226000;"Powiat złotoryjski";13,8;
0261000;"Powiat m. Jelenia Góra";3,8;
0262000;"Powiat m. Legnica";5,2;
0264000;"Powiat m. Wrocław";1,9;
0265000;"Powiat m. Wałbrzych od 2013";4,8;
0401000;"Powiat aleksandrowski";13,5;
0402000;"Powiat brodnicki";6,7;
0403000;"Powiat bydgoski";3,9;
0404000;"Powiat chełmiński";12,8;
0405000;"Powiat golubsko-dobrzyński";12,1;
0406000;"Powiat grudziądzki";13,4;
0407000;"Powiat inowrocławski";12,4;
0408000;"Powiat lipnowski";15,6;
0409000;"Powiat mogileński";10,6;
0410000;"Powiat nakielski";11,6;
0411000;"Powiat radziejowski";18,7;
0412000;"Powiat rypiński";10,5;
0413000;"Powiat sępoleński";11,5;
0414000;"Powiat świecki";6,5;
0415000;"Powiat toruński";10,6;
0416000;"Powiat tucholski";10,6;
0417000;"Powiat wąbrzeski";11,7;
0418000;"Powiat włocławski";16,0;
0419000;"Powiat żniński";9,7;
0461000;"Powiat m. Bydgoszcz";2,5;
0462000;"Powiat m. Grudziądz";11,5;
0463000;"Powiat m. Toruń";4,0;
0464000;"Powiat m. Włocławek";8,7;
0601000;"Powiat bialski";11,1;
0602000;"Powiat biłgorajski";6,5;
0603000;"Powiat chełmski";17,5;
0604000;"Powiat hrubieszowski";18,1;
0605000;"Powiat janowski";13,8;
0606000;"Powiat krasnostawski";15,8;
0607000;"Powiat kraśnicki";11,5;
0608000;"Powiat lubartowski";13,8;
