"Kod";"Nazwa";"ogółem;2021;[zł]";
011212000000;"PODREGION KRAKOWSKI";5321,38;
011212100000;"PODREGION MIASTO KRAKÓW";7203,41;
011212200000;"PODREGION NOWOSĄDECKI";4672,68;
011212300000;"PODREGION OŚWIĘCIMSKI";5216,18;
011212400000;"PODREGION TARNOWSKI";5400,26;
011216900000;"PODREGION NOWOTARSKI";4818,64;
012414400000;"PODREGION BIELSKI";5482,88;
012414500000;"PODREGION BYTOMSKI";5400,52;
012414600000;"PODREGION CZĘSTOCHOWSKI";5109,47;
012414700000;"PODREGION GLIWICKI";6236,00;
012414800000;"PODREGION KATOWICKI";6417,98;
012414900000;"PODREGION RYBNICKI";6402,15;
012415000000;"PODREGION SOSNOWIECKI";5911,69;
012415100000;"PODREGION TYSKI";5397,89;
020811300000;"PODREGION GORZOWSKI";5120,21;
020811400000;"PODREGION ZIELONOGÓRSKI";5395,23;
023015700000;"PODREGION KALISKI";4671,19;
023015800000;"PODREGION KONIŃSKI";4999,08;
023015900000;"PODREGION LESZCZYŃSKI";5021,32;
023016000000;"PODREGION PILSKI";5021,43;
023016100000;"PODREGION POZNAŃSKI";5119,01;
023016200000;"PODREGION MIASTO POZNAŃ";6662,69;
023216300000;"PODREGION KOSZALIŃSKI";5234,59;
023216400000;"PODREGION SZCZECINECKO-PYRZYCKI";5020,01;
023216500000;"PODREGION MIASTO SZCZECIN";6244,67;
023216600000;"PODREGION SZCZECIŃSKI";5342,48;
030210100000;"PODREGION JELENIOGÓRSKI";5352,68;
030210200000;"PODREGION LEGNICKO-GŁOGOWSKI";7106,37;
030210300000;"PODREGION WAŁBRZYSKI";5420,04;
030210400000;"PODREGION WROCŁAWSKI";5826,56;
030210500000;"PODREGION MIASTO WROCŁAW";6693,90;
031613100000;"PODREGION NYSKI";5089,42;
031613200000;"PODREGION OPOLSKI";5648,43;
040410600000;"PODREGION BYDGOSKO-TORUŃSKI";5689,35;
040410700000;"PODREGION GRUDZIĄDZKI";4867,83;
040410800000;"PODREGION WŁOCŁAWSKI";4964,68;
040416700000;"PODREGION INOWROCŁAWSKI";4852,12;
040416800000;"PODREGION ŚWIECKI";4980,31;
042214000000;"PODREGION GDAŃSKI";5128,54;
042214100000;"PODREGION SŁUPSKI";5295,68;
042214200000;"PODREGION STAROGARDZKI";5364,30;
042214300000;"PODREGION TRÓJMIEJSKI";6883,40;
042217200000;"PODREGION CHOJNICKI";4851,74;
042815400000;"PODREGION ELBLĄSKI";4854,96;
042815500000;"PODREGION EŁCKI";4838,42;
042815600000;"PODREGION OLSZTYŃSKI";5421,76;
051011500000;"PODREGION ŁÓDZKI";5209,89;
051011600000;"PODREGION MIASTO ŁÓDŹ";6062,04;
051011700000;"PODREGION PIOTRKOWSKI";5672,66;
051011800000;"PODREGION SIERADZKI";4996,58;
051011900000;"PODREGION SKIERNIEWICKI";5078,74;
052615200000;"PODREGION KIELECKI";5319,61;
052615300000;"PODREGION SANDOMIERSKO-JĘDRZEJOWSKI";5138,20;
060610900000;"PODREGION BIALSKI";4799,77;
060611000000;"PODREGION CHEŁMSKO-ZAMOJSKI";4872,40;
060611100000;"PODREGION LUBELSKI";5746,61;
060611200000;"PODREGION PUŁAWSKI";4982,57;
061813300000;"PODREGION KROŚNIEŃSKI";4872,03;
061813400000;"PODREGION PRZEMYSKI";4852,38;
061813500000;"PODREGION RZESZOWSKI";5494,92;
061813600000;"PODREGION TARNOBRZESKI";5112,92;
062013700000;"PODREGION BIAŁOSTOCKI";5463,41;
062013800000;"PODREGION ŁOMŻYŃSKI";5505,78;
062013900000;"PODREGION SUWALSKI";5135,12;
071412800000;"PODREGION MIASTO WARSZAWA";7687,58;
071412900000;"PODREGION WARSZAWSKI WSCHODNI";5433,38;
071413000000;"PODREGION WARSZAWSKI ZACHODNI";6350,07;
071422500000;"PODREGION CIECHANOWSKI";5147,09;
071422600000;"PODREGION OSTROŁĘCKI";5218,29;
071422700000;"PODREGION RADOMSKI";5441,53;
071427000000;"PODREGION PŁOCKI";6408,11;
071427100000;"PODREGION SIEDLECKI";5232,74;
071427300000;"PODREGION ŻYRARDOWSKI";5864,86;
