"Kod";"Nazwa";"przeciętne miesięczne wynagrodzenia brutto w relacji do średniej krajowej (Polska=100);2021;[%]";
011212000000;"PODREGION KRAKOWSKI";88,7;
011212100000;"PODREGION MIASTO KRAKÓW";120,0;
011212200000;"PODREGION NOWOSĄDECKI";77,9;
011212300000;"PODREGION OŚWIĘCIMSKI";86,9;
011212400000;"PODREGION TARNOWSKI";90,0;
011216900000;"PODREGION NOWOTARSKI";80,3;
012414400000;"PODREGION BIELSKI";91,4;
012414500000;"PODREGION BYTOMSKI";90,0;
012414600000;"PODREGION CZĘSTOCHOWSKI";85,1;
012414700000;"PODREGION GLIWICKI";103,9;
012414800000;"PODREGION KATOWICKI";106,9;
012414900000;"PODREGION RYBNICKI";106,7;
012415000000;"PODREGION SOSNOWIECKI";98,5;
012415100000;"PODREGION TYSKI";89,9;
020811300000;"PODREGION GORZOWSKI";85,3;
020811400000;"PODREGION ZIELONOGÓRSKI";89,9;
023015700000;"PODREGION KALISKI";77,8;
023015800000;"PODREGION KONIŃSKI";83,3;
023015900000;"PODREGION LESZCZYŃSKI";83,7;
023016000000;"PODREGION PILSKI";83,7;
023016100000;"PODREGION POZNAŃSKI";85,3;
023016200000;"PODREGION MIASTO POZNAŃ";111,0;
023216300000;"PODREGION KOSZALIŃSKI";87,2;
023216400000;"PODREGION SZCZECINECKO-PYRZYCKI";83,7;
023216500000;"PODREGION MIASTO SZCZECIN";104,1;
023216600000;"PODREGION SZCZECIŃSKI";89,0;
030210100000;"PODREGION JELENIOGÓRSKI";89,2;
030210200000;"PODREGION LEGNICKO-GŁOGOWSKI";118,4;
030210300000;"PODREGION WAŁBRZYSKI";90,3;
030210400000;"PODREGION WROCŁAWSKI";97,1;
030210500000;"PODREGION MIASTO WROCŁAW";111,5;
031613100000;"PODREGION NYSKI";84,8;
031613200000;"PODREGION OPOLSKI";94,1;
040410600000;"PODREGION BYDGOSKO-TORUŃSKI";94,8;
040410700000;"PODREGION GRUDZIĄDZKI";81,1;
040410800000;"PODREGION WŁOCŁAWSKI";82,7;
040416700000;"PODREGION INOWROCŁAWSKI";80,9;
040416800000;"PODREGION ŚWIECKI";83,0;
042214000000;"PODREGION GDAŃSKI";85,5;
042214100000;"PODREGION SŁUPSKI";88,2;
042214200000;"PODREGION STAROGARDZKI";89,4;
042214300000;"PODREGION TRÓJMIEJSKI";114,7;
042217200000;"PODREGION CHOJNICKI";80,8;
042815400000;"PODREGION ELBLĄSKI";80,9;
042815500000;"PODREGION EŁCKI";80,6;
042815600000;"PODREGION OLSZTYŃSKI";90,3;
051011500000;"PODREGION ŁÓDZKI";86,8;
051011600000;"PODREGION MIASTO ŁÓDŹ";101,0;
051011700000;"PODREGION PIOTRKOWSKI";94,5;
051011800000;"PODREGION SIERADZKI";83,3;
051011900000;"PODREGION SKIERNIEWICKI";84,6;
052615200000;"PODREGION KIELECKI";88,6;
052615300000;"PODREGION SANDOMIERSKO-JĘDRZEJOWSKI";85,6;
060610900000;"PODREGION BIALSKI";80,0;
060611000000;"PODREGION CHEŁMSKO-ZAMOJSKI";81,2;
060611100000;"PODREGION LUBELSKI";95,8;
060611200000;"PODREGION PUŁAWSKI";83,0;
061813300000;"PODREGION KROŚNIEŃSKI";81,2;
061813400000;"PODREGION PRZEMYSKI";80,9;
061813500000;"PODREGION RZESZOWSKI";91,6;
061813600000;"PODREGION TARNOBRZESKI";85,2;
062013700000;"PODREGION BIAŁOSTOCKI";91,0;
062013800000;"PODREGION ŁOMŻYŃSKI";91,7;
062013900000;"PODREGION SUWALSKI";85,6;
071412800000;"PODREGION MIASTO WARSZAWA";128,1;
071412900000;"PODREGION WARSZAWSKI WSCHODNI";90,5;
071413000000;"PODREGION WARSZAWSKI ZACHODNI";105,8;
071422500000;"PODREGION CIECHANOWSKI";85,8;
071422600000;"PODREGION OSTROŁĘCKI";87,0;
071422700000;"PODREGION RADOMSKI";90,7;
071427000000;"PODREGION PŁOCKI";106,8;
071427100000;"PODREGION SIEDLECKI";87,2;
071427300000;"PODREGION ŻYRARDOWSKI";97,7;
