"Kod";"Nazwa";"ogółem;2021;[zł]";
0201000;"Powiat bolesławiecki";5461,94;
0202000;"Powiat dzierżoniowski";5127,97;
0203000;"Powiat głogowski";5171,28;
0204000;"Powiat górowski";4862,88;
0205000;"Powiat jaworski";5554,54;
0206000;"Powiat karkonoski";5050,91;
0207000;"Powiat kamiennogórski";4885,26;
0208000;"Powiat kłodzki";5141,98;
0209000;"Powiat legnicki";5452,05;
0210000;"Powiat lubański";4980,17;
0211000;"Powiat lubiński";10076,64;
0212000;"Powiat lwówecki";5049,64;
0213000;"Powiat milicki";4848,85;
0214000;"Powiat oleśnicki";5113,77;
0215000;"Powiat oławski";5467,98;
0216000;"Powiat polkowicki";6120,80;
0217000;"Powiat strzeliński";5671,21;
0218000;"Powiat średzki";5761,88;
0219000;"Powiat świdnicki";5469,98;
0220000;"Powiat trzebnicki";5235,04;
0221000;"Powiat wałbrzyski";4759,75;
0222000;"Powiat wołowski";6793,03;
0223000;"Powiat wrocławski";6489,25;
0224000;"Powiat ząbkowicki";4975,61;
0225000;"Powiat zgorzelecki";5346,28;
0226000;"Powiat złotoryjski";5591,14;
0261000;"Powiat m. Jelenia Góra";5646,31;
0262000;"Powiat m. Legnica";5463,27;
0264000;"Powiat m. Wrocław";6693,90;
0265000;"Powiat m. Wałbrzych od 2013";6015,80;
0401000;"Powiat aleksandrowski";4651,79;
0402000;"Powiat brodnicki";4666,18;
0403000;"Powiat bydgoski";5167,77;
0404000;"Powiat chełmiński";4901,95;
0405000;"Powiat golubsko-dobrzyński";5272,37;
0406000;"Powiat grudziądzki";5009,38;
0407000;"Powiat inowrocławski";4988,03;
0408000;"Powiat lipnowski";4455,86;
0409000;"Powiat mogileński";4704,01;
0410000;"Powiat nakielski";4822,85;
0411000;"Powiat radziejowski";4799,97;
0412000;"Powiat rypiński";4668,80;
0413000;"Powiat sępoleński";4702,98;
0414000;"Powiat świecki";5211,03;
0415000;"Powiat toruński";4737,52;
0416000;"Powiat tucholski";4640,12;
0417000;"Powiat wąbrzeski";5091,85;
0418000;"Powiat włocławski";4807,59;
0419000;"Powiat żniński";4600,57;
0461000;"Powiat m. Bydgoszcz";5848,22;
0462000;"Powiat m. Grudziądz";4825,20;
0463000;"Powiat m. Toruń";5841,99;
0464000;"Powiat m. Włocławek";5294,49;
0601000;"Powiat bialski";4594,45;
0602000;"Powiat biłgorajski";4781,00;
0603000;"Powiat chełmski";4637,15;
0604000;"Powiat hrubieszowski";5019,57;
0605000;"Powiat janowski";5061,82;
0606000;"Powiat krasnostawski";4843,32;
0607000;"Powiat kraśnicki";4683,04;
0608000;"Powiat lubartowski";4824,58;
0609000;"Powiat lubelski";4615,93;
0610000;"Powiat łęczyński";7165,63;
0611000;"Powiat łukowski";4562,15;
0612000;"Powiat opolski";4547,18;
0613000;"Powiat parczewski";4881,98;
0614000;"Powiat puławski";5680,00;
0615000;"Powiat radzyński";4775,71;
0616000;"Powiat rycki";4786,07;
0617000;"Powiat świdnicki";5537,67;
0618000;"Powiat tomaszowski";4556,75;
0619000;"Powiat włodawski";4724,35;
0620000;"Powiat zamojski";4373,85;
0661000;"Powiat m. Biała Podlaska";4984,69;
0662000;"Powiat m. Chełm";4945,78;
0663000;"Powiat m. Lublin";5833,53;
0664000;"Powiat m. Zamość";5405,57;
0801000;"Powiat gorzowski";5419,18;
0802000;"Powiat krośnieński";5127,37;
0803000;"Powiat międzyrzecki";5085,53;
0804000;"Powiat nowosolski";5132,85;
0805000;"Powiat słubicki";4733,20;
0806000;"Powiat strzelecko-drezdenecki";5038,23;
0807000;"Powiat sulęciński";4685,18;
0808000;"Powiat świebodziński";5242,75;
0809000;"Powiat zielonogórski";5392,72;
0810000;"Powiat żagański";4823,38;
0811000;"Powiat żarski";5659,45;
0812000;"Powiat wschowski";4866,09;
0861000;"Powiat m. Gorzów Wielkopolski";5242,27;
0862000;"Powiat m. Zielona Góra";5697,74;
1001000;"Powiat bełchatowski";7288,32;
1002000;"Powiat kutnowski";5228,84;
1003000;"Powiat łaski";4475,37;
1004000;"Powiat łęczycki";5112,54;
1005000;"Powiat łowicki";4866,80;
1006000;"Powiat łódzki wschodni";4921,85;
1007000;"Powiat opoczyński";4877,79;
1008000;"Powiat pabianicki";5097,18;
1009000;"Powiat pajęczański";4878,09;
1010000;"Powiat piotrkowski";4657,40;
1011000;"Powiat poddębicki";6479,53;
1012000;"Powiat radomszczański";4807,65;
1013000;"Powiat rawski";5001,06;
1014000;"Powiat sieradzki";5105,75;
1015000;"Powiat skierniewicki";4861,50;
1016000;"Powiat tomaszowski";4926,75;
1017000;"Powiat wieluński";4994,12;
1018000;"Powiat wieruszowski";4510,26;
1019000;"Powiat zduńskowolski";4818,67;
1020000;"Powiat zgierski";5476,77;
1021000;"Powiat brzeziński";4605,78;
1061000;"Powiat m. Łódź";6062,04;
1062000;"Powiat m. Piotrków Trybunalski";5029,34;
1063000;"Powiat m. Skierniewice";5145,34;
1201000;"Powiat bocheński";5056,61;
1202000;"Powiat brzeski";4676,17;
1203000;"Powiat chrzanowski";5321,95;
1204000;"Powiat dąbrowski";4807,50;
1205000;"Powiat gorlicki";4619,28;
1206000;"Powiat krakowski";5562,32;
1207000;"Powiat limanowski";4650,69;
1208000;"Powiat miechowski";4906,57;
1209000;"Powiat myślenicki";5025,52;
1210000;"Powiat nowosądecki";4540,71;
1211000;"Powiat nowotarski";4664,68;
1212000;"Powiat olkuski";5266,62;
1213000;"Powiat oświęcimski";5422,84;
1214000;"Powiat proszowicki";4968,09;
1215000;"Powiat suski";4955,34;
1216000;"Powiat tarnowski";4516,68;
1217000;"Powiat tatrzański";5056,45;
1218000;"Powiat wadowicki";4936,99;
1219000;"Powiat wielicki";5369,27;
1261000;"Powiat m. Kraków";7203,41;
1262000;"Powiat m. Nowy Sącz";4838,59;
1263000;"Powiat m. Tarnów";6035,40;
1401000;"Powiat białobrzeski";4968,13;
1402000;"Powiat ciechanowski";5411,99;
1403000;"Powiat garwoliński";5145,34;
1404000;"Powiat gostyniński";5166,55;
1405000;"Powiat grodziski";6355,26;
1406000;"Powiat grójecki";5631,52;
