Kod,Nazwa,emisja ogółem na km2;2021;[t],ogółem;2021;[-],nakłady inwestycyjne w przedsiębiorstwach na 1 mieszkańca;2021;[zł],poszkodowani w wypadkach przy pracy na 1000 pracujących ogółem;2021;[osoba],współczynnik skolaryzacji netto;szkoły podstawowe;2021;[%],ogółem;2021;[%],ogółem;2021;[zł]
201000,Powiat bolesławiecki,"30,77","3,8",6186,"7,76","94,49","5,1","5461,94"
202000,Powiat dzierżoniowski,"41,38","3,5",2174,"4,81","92,38","5,5","5127,97"
203000,Powiat głogowski,"2355,43","4,2",7549,"6,72","95,44","7,7","5171,28"
204000,Powiat górowski,"5,29","4,0",608,"7,75","90,65","18,3","4862,88"
205000,Powiat jaworski,"35,87","3,3",16337,"5,92","87,98","10,8","5554,54"
206000,Powiat karkonoski,"35,03","3,5",3544,"4,60","78,55","10,5","5050,91"
207000,Powiat kamiennogórski,"35,61","4,1",2521,"5,04","89,91","6,6","4885,26"
208000,Powiat kłodzki,"24,16","3,4",1705,"4,10","91,09","12,5","5141,98"
209000,Powiat legnicki,"57,37","4,3",5011,"8,44","79,95","8,4","5452,05"
210000,Powiat lubański,"45,86","3,8",2198,"5,34","92,77","8,0","4980,17"
211000,Powiat lubiński,"233,57","4,4",7786,"6,72","98,07","4,0","10076,64"
212000,Powiat lwówecki,"1,18","3,8",1019,"6,60","85,90","9,5","5049,64"
214000,Powiat oleśnicki,"36,98","4,3",2833,"6,64","93,52","6,0","5113,77"
215000,Powiat oławski,"139,76","4,1",9306,"10,12","95,88","4,0","5467,98"
216000,Powiat polkowicki,"270,73","4,6",25270,"8,35","91,40","4,9","6120,80"
217000,Powiat strzeliński,"117,51","3,5",2431,"4,38","88,84","11,8","5671,21"
218000,Powiat średzki,"67,46","4,0",8082,"5,35","85,68","5,8","5761,88"
219000,Powiat świdnicki,"170,59","4,0",3720,"7,70","94,24","5,7","5469,98"
220000,Powiat trzebnicki,"0,42","4,4",4603,"4,76","90,64","5,1","5235,04"
221000,Powiat wałbrzyski,"2,56","3,5",1562,"4,64","83,48","13,9","4759,75"
222000,Powiat wołowski,"349,52","4,6",4755,"6,47","92,45","12,2","6793,03"
223000,Powiat wrocławski,"548,07","4,5",23239,"6,62","85,81","1,8","6489,25"
225000,Powiat zgorzelecki,"12189,12","4,3",13366,"3,95","93,64","5,6","5346,28"
