"Kod";"Nazwa";"ogółem;2021;[zł]";
011212000000;"PODREGION KRAKOWSKI";1177,30;
011212200000;"PODREGION NOWOSĄDECKI";1192,49;
011212300000;"PODREGION OŚWIĘCIMSKI";1332,31;
011212400000;"PODREGION TARNOWSKI";1131,03;
011216900000;"PODREGION NOWOTARSKI";1258,04;
012414400000;"PODREGION BIELSKI";1214,27;
012414500000;"PODREGION BYTOMSKI";1536,04;
012414600000;"PODREGION CZĘSTOCHOWSKI";1072,74;
012414700000;"PODREGION GLIWICKI";1016,43;
012414900000;"PODREGION RYBNICKI";1360,84;
012415000000;"PODREGION SOSNOWIECKI";1213,14;
012415100000;"PODREGION TYSKI";1201,27;
020811300000;"PODREGION GORZOWSKI";1430,37;
020811400000;"PODREGION ZIELONOGÓRSKI";1420,58;
023015700000;"PODREGION KALISKI";1474,61;
023015800000;"PODREGION KONIŃSKI";1349,88;
023015900000;"PODREGION LESZCZYŃSKI";1325,60;
023016000000;"PODREGION PILSKI";1484,25;
023016100000;"PODREGION POZNAŃSKI";1135,74;
023216300000;"PODREGION KOSZALIŃSKI";1731,30;
023216400000;"PODREGION SZCZECINECKO-PYRZYCKI";1805,19;
023216600000;"PODREGION SZCZECIŃSKI";1518,24;
030210100000;"PODREGION JELENIOGÓRSKI";1499,72;
030210200000;"PODREGION LEGNICKO-GŁOGOWSKI";1547,97;
030210300000;"PODREGION WAŁBRZYSKI";1384,98;
030210400000;"PODREGION WROCŁAWSKI";1325,06;
031613100000;"PODREGION NYSKI";1453,68;
031613200000;"PODREGION OPOLSKI";1183,28;
040410600000;"PODREGION BYDGOSKO-TORUŃSKI";1040,23;
040410700000;"PODREGION GRUDZIĄDZKI";1452,74;
040410800000;"PODREGION WŁOCŁAWSKI";1526,60;
040416700000;"PODREGION INOWROCŁAWSKI";1478,73;
040416800000;"PODREGION ŚWIECKI";1533,80;
042214000000;"PODREGION GDAŃSKI";1233,92;
042214100000;"PODREGION SŁUPSKI";1626,10;
042214200000;"PODREGION STAROGARDZKI";1549,66;
042217200000;"PODREGION CHOJNICKI";1797,78;
042815400000;"PODREGION ELBLĄSKI";1612,41;
042815500000;"PODREGION EŁCKI";1829,01;
042815600000;"PODREGION OLSZTYŃSKI";1661,65;
051011500000;"PODREGION ŁÓDZKI";1182,02;
051011700000;"PODREGION PIOTRKOWSKI";1350,52;
051011800000;"PODREGION SIERADZKI";1449,79;
051011900000;"PODREGION SKIERNIEWICKI";1529,07;
052615200000;"PODREGION KIELECKI";1475,19;
052615300000;"PODREGION SANDOMIERSKO-JĘDRZEJOWSKI";1616,37;
060610900000;"PODREGION BIALSKI";1625,08;
060611000000;"PODREGION CHEŁMSKO-ZAMOJSKI";1495,14;
060611100000;"PODREGION LUBELSKI";1300,97;
060611200000;"PODREGION PUŁAWSKI";1564,88;
061813300000;"PODREGION KROŚNIEŃSKI";1346,42;
061813400000;"PODREGION PRZEMYSKI";1452,39;
061813500000;"PODREGION RZESZOWSKI";1288,99;
061813600000;"PODREGION TARNOBRZESKI";1400,38;
062013700000;"PODREGION BIAŁOSTOCKI";1469,37;
062013800000;"PODREGION ŁOMŻYŃSKI";1534,76;
062013900000;"PODREGION SUWALSKI";1663,69;
071412900000;"PODREGION WARSZAWSKI WSCHODNI";1260,97;
071413000000;"PODREGION WARSZAWSKI ZACHODNI";1504,89;
071422500000;"PODREGION CIECHANOWSKI";1684,93;
071422600000;"PODREGION OSTROŁĘCKI";1579,22;
071422700000;"PODREGION RADOMSKI";1611,02;
071427000000;"PODREGION PŁOCKI";1461,58;
071427100000;"PODREGION SIEDLECKI";1445,86;
071427300000;"PODREGION ŻYRARDOWSKI";1577,41;
