"Kod";"Nazwa";"ludność w wieku nieprodukcyjnym na 100 osób w wieku produkcyjnym;2021;[osoba]";
011212000000;"PODREGION KRAKOWSKI";68,1;
011212100000;"PODREGION MIASTO KRAKÓW";62,4;
011212200000;"PODREGION NOWOSĄDECKI";68,4;
011212300000;"PODREGION OŚWIĘCIMSKI";70,7;
011212400000;"PODREGION TARNOWSKI";66,2;
011216900000;"PODREGION NOWOTARSKI";66,1;
012414400000;"PODREGION BIELSKI";71,9;
012414500000;"PODREGION BYTOMSKI";68,3;
012414600000;"PODREGION CZĘSTOCHOWSKI";72,4;
012414700000;"PODREGION GLIWICKI";68,9;
012414800000;"PODREGION KATOWICKI";69,0;
012414900000;"PODREGION RYBNICKI";69,1;
012415000000;"PODREGION SOSNOWIECKI";74,7;
012415100000;"PODREGION TYSKI";69,9;
020811300000;"PODREGION GORZOWSKI";69,0;
020811400000;"PODREGION ZIELONOGÓRSKI";70,0;
023015700000;"PODREGION KALISKI";70,0;
023015800000;"PODREGION KONIŃSKI";69,3;
023015900000;"PODREGION LESZCZYŃSKI";69,5;
023016000000;"PODREGION PILSKI";69,0;
023016100000;"PODREGION POZNAŃSKI";67,6;
023016200000;"PODREGION MIASTO POZNAŃ";64,8;
023216300000;"PODREGION KOSZALIŃSKI";70,7;
023216400000;"PODREGION SZCZECINECKO-PYRZYCKI";70,9;
023216500000;"PODREGION MIASTO SZCZECIN";70,4;
023216600000;"PODREGION SZCZECIŃSKI";68,4;
030210100000;"PODREGION JELENIOGÓRSKI";70,9;
030210200000;"PODREGION LEGNICKO-GŁOGOWSKI";72,2;
030210300000;"PODREGION WAŁBRZYSKI";73,1;
030210400000;"PODREGION WROCŁAWSKI";68,2;
030210500000;"PODREGION MIASTO WROCŁAW";62,9;
031613100000;"PODREGION NYSKI";69,2;
031613200000;"PODREGION OPOLSKI";65,5;
040410600000;"PODREGION BYDGOSKO-TORUŃSKI";69,6;
040410700000;"PODREGION GRUDZIĄDZKI";69,1;
040410800000;"PODREGION WŁOCŁAWSKI";70,1;
040416700000;"PODREGION INOWROCŁAWSKI";69,2;
040416800000;"PODREGION ŚWIECKI";69,7;
042214000000;"PODREGION GDAŃSKI";67,2;
042214100000;"PODREGION SŁUPSKI";70,3;
042214200000;"PODREGION STAROGARDZKI";68,1;
042214300000;"PODREGION TRÓJMIEJSKI";68,9;
042217200000;"PODREGION CHOJNICKI";70,9;
042815400000;"PODREGION ELBLĄSKI";68,9;
042815500000;"PODREGION EŁCKI";67,0;
042815600000;"PODREGION OLSZTYŃSKI";67,5;
051011500000;"PODREGION ŁÓDZKI";72,9;
051011600000;"PODREGION MIASTO ŁÓDŹ";76,2;
051011700000;"PODREGION PIOTRKOWSKI";72,8;
051011800000;"PODREGION SIERADZKI";71,0;
051011900000;"PODREGION SKIERNIEWICKI";73,8;
052615200000;"PODREGION KIELECKI";72,5;
052615300000;"PODREGION SANDOMIERSKO-JĘDRZEJOWSKI";72,0;
060610900000;"PODREGION BIALSKI";70,5;
060611000000;"PODREGION CHEŁMSKO-ZAMOJSKI";70,7;
060611100000;"PODREGION LUBELSKI";70,0;
060611200000;"PODREGION PUŁAWSKI";73,5;
061813300000;"PODREGION KROŚNIEŃSKI";68,3;
061813400000;"PODREGION PRZEMYSKI";66,9;
061813500000;"PODREGION RZESZOWSKI";66,2;
061813600000;"PODREGION TARNOBRZESKI";67,0;
062013700000;"PODREGION BIAŁOSTOCKI";67,5;
062013800000;"PODREGION ŁOMŻYŃSKI";70,7;
062013900000;"PODREGION SUWALSKI";66,5;
071412800000;"PODREGION MIASTO WARSZAWA";66,9;
071412900000;"PODREGION WARSZAWSKI WSCHODNI";70,1;
071413000000;"PODREGION WARSZAWSKI ZACHODNI";71,2;
071422500000;"PODREGION CIECHANOWSKI";69,8;
071422600000;"PODREGION OSTROŁĘCKI";70,0;
071422700000;"PODREGION RADOMSKI";71,4;
071427000000;"PODREGION PŁOCKI";69,6;
071427100000;"PODREGION SIEDLECKI";73,5;
071427300000;"PODREGION ŻYRARDOWSKI";72,4;
