"Kod";"Nazwa";"ogółem;2021;[-]";
011212000000;"PODREGION KRAKOWSKI";11234;
011212100000;"PODREGION MIASTO KRAKÓW";19132;
011212200000;"PODREGION NOWOSĄDECKI";14831;
011212300000;"PODREGION OŚWIĘCIMSKI";9372;
011212400000;"PODREGION TARNOWSKI";9921;
011216900000;"PODREGION NOWOTARSKI";5330;
012414400000;"PODREGION BIELSKI";14338;
012414500000;"PODREGION BYTOMSKI";9103;
012414600000;"PODREGION CZĘSTOCHOWSKI";9251;
012414700000;"PODREGION GLIWICKI";11050;
012414800000;"PODREGION KATOWICKI";33130;
012414900000;"PODREGION RYBNICKI";12979;
012415000000;"PODREGION SOSNOWIECKI";23833;
012415100000;"PODREGION TYSKI";7532;
020811300000;"PODREGION GORZOWSKI";11357;
020811400000;"PODREGION ZIELONOGÓRSKI";15877;
023015700000;"PODREGION KALISKI";11847;
023015800000;"PODREGION KONIŃSKI";12434;
023015900000;"PODREGION LESZCZYŃSKI";9094;
023016000000;"PODREGION PILSKI";7204;
023016100000;"PODREGION POZNAŃSKI";12322;
023016200000;"PODREGION MIASTO POZNAŃ";14560;
023216300000;"PODREGION KOSZALIŃSKI";7578;
023216400000;"PODREGION SZCZECINECKO-PYRZYCKI";9049;
023216500000;"PODREGION MIASTO SZCZECIN";12368;
023216600000;"PODREGION SZCZECIŃSKI";10903;
030210100000;"PODREGION JELENIOGÓRSKI";18842;
030210200000;"PODREGION LEGNICKO-GŁOGOWSKI";14426;
030210300000;"PODREGION WAŁBRZYSKI";16210;
030210400000;"PODREGION WROCŁAWSKI";11882;
030210500000;"PODREGION MIASTO WROCŁAW";20440;
031613100000;"PODREGION NYSKI";6623;
031613200000;"PODREGION OPOLSKI";10677;
040410600000;"PODREGION BYDGOSKO-TORUŃSKI";17677;
040410700000;"PODREGION GRUDZIĄDZKI";6318;
040410800000;"PODREGION WŁOCŁAWSKI";7435;
040416700000;"PODREGION INOWROCŁAWSKI";6322;
040416800000;"PODREGION ŚWIECKI";3124;
042214000000;"PODREGION GDAŃSKI";11534;
042214100000;"PODREGION SŁUPSKI";6315;
042214200000;"PODREGION STAROGARDZKI";7762;
042214300000;"PODREGION TRÓJMIEJSKI";22052;
042217200000;"PODREGION CHOJNICKI";3588;
042815400000;"PODREGION ELBLĄSKI";10053;
042815500000;"PODREGION EŁCKI";4935;
042815600000;"PODREGION OLSZTYŃSKI";10412;
051011500000;"PODREGION ŁÓDZKI";6931;
051011600000;"PODREGION MIASTO ŁÓDŹ";16518;
051011700000;"PODREGION PIOTRKOWSKI";9591;
051011800000;"PODREGION SIERADZKI";15659;
051011900000;"PODREGION SKIERNIEWICKI";6137;
052615200000;"PODREGION KIELECKI";15417;
052615300000;"PODREGION SANDOMIERSKO-JĘDRZEJOWSKI";7070;
060610900000;"PODREGION BIALSKI";4528;
060611000000;"PODREGION CHEŁMSKO-ZAMOJSKI";9635;
060611100000;"PODREGION LUBELSKI";12806;
060611200000;"PODREGION PUŁAWSKI";6342;
061813300000;"PODREGION KROŚNIEŃSKI";7879;
061813400000;"PODREGION PRZEMYSKI";4107;
061813500000;"PODREGION RZESZOWSKI";8781;
061813600000;"PODREGION TARNOBRZESKI";8320;
062013700000;"PODREGION BIAŁOSTOCKI";8837;
062013800000;"PODREGION ŁOMŻYŃSKI";5372;
062013900000;"PODREGION SUWALSKI";3722;
071412800000;"PODREGION MIASTO WARSZAWA";49443;
071412900000;"PODREGION WARSZAWSKI WSCHODNI";14340;
071413000000;"PODREGION WARSZAWSKI ZACHODNI";13489;
071422500000;"PODREGION CIECHANOWSKI";6339;
071422600000;"PODREGION OSTROŁĘCKI";6866;
071422700000;"PODREGION RADOMSKI";10224;
071427000000;"PODREGION PŁOCKI";7710;
071427100000;"PODREGION SIEDLECKI";6888;
071427300000;"PODREGION ŻYRARDOWSKI";5639;
