"Kod";"Nazwa";"Przyrost naturalny;ogółem;2021;[-]";
011212000000;"PODREGION KRAKOWSKI";-905;
011212100000;"PODREGION MIASTO KRAKÓW";-798;
011212200000;"PODREGION NOWOSĄDECKI";-145;
011212300000;"PODREGION OŚWIĘCIMSKI";-3197;
011212400000;"PODREGION TARNOWSKI";-1749;
011216900000;"PODREGION NOWOTARSKI";-646;
012414400000;"PODREGION BIELSKI";-3425;
012414500000;"PODREGION BYTOMSKI";-3061;
012414600000;"PODREGION CZĘSTOCHOWSKI";-4476;
012414700000;"PODREGION GLIWICKI";-2954;
012414800000;"PODREGION KATOWICKI";-5560;
012414900000;"PODREGION RYBNICKI";-3858;
012415000000;"PODREGION SOSNOWIECKI";-6696;
012415100000;"PODREGION TYSKI";-1386;
020811300000;"PODREGION GORZOWSKI";-2402;
020811400000;"PODREGION ZIELONOGÓRSKI";-3504;
023015700000;"PODREGION KALISKI";-2584;
023015800000;"PODREGION KONIŃSKI";-2553;
023015900000;"PODREGION LESZCZYŃSKI";-1460;
023016000000;"PODREGION PILSKI";-1932;
023016100000;"PODREGION POZNAŃSKI";466;
023016200000;"PODREGION MIASTO POZNAŃ";-1521;
023216300000;"PODREGION KOSZALIŃSKI";-2294;
023216400000;"PODREGION SZCZECINECKO-PYRZYCKI";-2905;
023216500000;"PODREGION MIASTO SZCZECIN";-2664;
023216600000;"PODREGION SZCZECIŃSKI";-2535;
030210100000;"PODREGION JELENIOGÓRSKI";-4720;
030210200000;"PODREGION LEGNICKO-GŁOGOWSKI";-2293;
030210300000;"PODREGION WAŁBRZYSKI";-6426;
030210400000;"PODREGION WROCŁAWSKI";-1134;
030210500000;"PODREGION MIASTO WROCŁAW";-1358;
031613100000;"PODREGION NYSKI";-2796;
031613200000;"PODREGION OPOLSKI";-3105;
040410600000;"PODREGION BYDGOSKO-TORUŃSKI";-3806;
040410700000;"PODREGION GRUDZIĄDZKI";-2182;
040410800000;"PODREGION WŁOCŁAWSKI";-2614;
040416700000;"PODREGION INOWROCŁAWSKI";-2151;
040416800000;"PODREGION ŚWIECKI";-810;
042214000000;"PODREGION GDAŃSKI";1224;
042214100000;"PODREGION SŁUPSKI";-1401;
042214200000;"PODREGION STAROGARDZKI";-1581;
042214300000;"PODREGION TRÓJMIEJSKI";-2620;
042217200000;"PODREGION CHOJNICKI";-359;
042815400000;"PODREGION ELBLĄSKI";-3188;
042815500000;"PODREGION EŁCKI";-1657;
042815600000;"PODREGION OLSZTYŃSKI";-3455;
051011500000;"PODREGION ŁÓDZKI";-2753;
051011600000;"PODREGION MIASTO ŁÓDŹ";-6661;
051011700000;"PODREGION PIOTRKOWSKI";-3877;
051011800000;"PODREGION SIERADZKI";-2540;
051011900000;"PODREGION SKIERNIEWICKI";-2617;
052615200000;"PODREGION KIELECKI";-5759;
052615300000;"PODREGION SANDOMIERSKO-JĘDRZEJOWSKI";-3924;
060610900000;"PODREGION BIALSKI";-2103;
060611000000;"PODREGION CHEŁMSKO-ZAMOJSKI";-5274;
060611100000;"PODREGION LUBELSKI";-3417;
060611200000;"PODREGION PUŁAWSKI";-3182;
061813300000;"PODREGION KROŚNIEŃSKI";-2484;
061813400000;"PODREGION PRZEMYSKI";-2044;
061813500000;"PODREGION RZESZOWSKI";-1249;
061813600000;"PODREGION TARNOBRZESKI";-2794;
062013700000;"PODREGION BIAŁOSTOCKI";-1968;
062013800000;"PODREGION ŁOMŻYŃSKI";-3057;
062013900000;"PODREGION SUWALSKI";-1588;
071412800000;"PODREGION MIASTO WARSZAWA";-4260;
071412900000;"PODREGION WARSZAWSKI WSCHODNI";-1002;
071413000000;"PODREGION WARSZAWSKI ZACHODNI";-1310;
071422500000;"PODREGION CIECHANOWSKI";-1972;
071422600000;"PODREGION OSTROŁĘCKI";-1784;
071422700000;"PODREGION RADOMSKI";-3656;
071427000000;"PODREGION PŁOCKI";-2144;
071427100000;"PODREGION SIEDLECKI";-1825;
071427300000;"PODREGION ŻYRARDOWSKI";-1586;
