"Kod";"Nazwa";"ogółem;2021;[zł]";
011212000000;"PODREGION KRAKOWSKI";1102,50;
011212200000;"PODREGION NOWOSĄDECKI";1177,20;
011212300000;"PODREGION OŚWIĘCIMSKI";1284,94;
011212400000;"PODREGION TARNOWSKI";1071,31;
011216900000;"PODREGION NOWOTARSKI";1188,99;
012414400000;"PODREGION BIELSKI";1166,06;
012414500000;"PODREGION BYTOMSKI";1498,43;
012414600000;"PODREGION CZĘSTOCHOWSKI";1028,79;
012414700000;"PODREGION GLIWICKI";980,69;
012414900000;"PODREGION RYBNICKI";1257,69;
012415000000;"PODREGION SOSNOWIECKI";1074,01;
012415100000;"PODREGION TYSKI";1151,94;
020811300000;"PODREGION GORZOWSKI";1305,53;
020811400000;"PODREGION ZIELONOGÓRSKI";1325,62;
023015700000;"PODREGION KALISKI";1378,20;
023015800000;"PODREGION KONIŃSKI";1282,86;
023015900000;"PODREGION LESZCZYŃSKI";1250,07;
023016000000;"PODREGION PILSKI";1454,19;
023016100000;"PODREGION POZNAŃSKI";1120,80;
023216300000;"PODREGION KOSZALIŃSKI";1635,42;
023216400000;"PODREGION SZCZECINECKO-PYRZYCKI";1723,71;
023216600000;"PODREGION SZCZECIŃSKI";1426,31;
030210100000;"PODREGION JELENIOGÓRSKI";1420,72;
030210200000;"PODREGION LEGNICKO-GŁOGOWSKI";1455,67;
030210300000;"PODREGION WAŁBRZYSKI";1313,40;
030210400000;"PODREGION WROCŁAWSKI";1249,37;
031613100000;"PODREGION NYSKI";1417,30;
031613200000;"PODREGION OPOLSKI";1125,97;
040410600000;"PODREGION BYDGOSKO-TORUŃSKI";963,58;
040410700000;"PODREGION GRUDZIĄDZKI";1459,51;
040410800000;"PODREGION WŁOCŁAWSKI";1444,14;
040416700000;"PODREGION INOWROCŁAWSKI";1421,52;
040416800000;"PODREGION ŚWIECKI";1545,56;
042214000000;"PODREGION GDAŃSKI";1117,92;
042214100000;"PODREGION SŁUPSKI";1549,25;
042214200000;"PODREGION STAROGARDZKI";1529,25;
042217200000;"PODREGION CHOJNICKI";1664,31;
042815400000;"PODREGION ELBLĄSKI";1513,47;
042815500000;"PODREGION EŁCKI";1797,01;
042815600000;"PODREGION OLSZTYŃSKI";1529,98;
051011500000;"PODREGION ŁÓDZKI";1111,43;
051011700000;"PODREGION PIOTRKOWSKI";1276,88;
051011800000;"PODREGION SIERADZKI";1378,63;
051011900000;"PODREGION SKIERNIEWICKI";1431,75;
052615200000;"PODREGION KIELECKI";1347,95;
052615300000;"PODREGION SANDOMIERSKO-JĘDRZEJOWSKI";1533,40;
060610900000;"PODREGION BIALSKI";1590,98;
060611000000;"PODREGION CHEŁMSKO-ZAMOJSKI";1463,28;
060611100000;"PODREGION LUBELSKI";1264,57;
060611200000;"PODREGION PUŁAWSKI";1537,52;
061813300000;"PODREGION KROŚNIEŃSKI";1289,73;
061813400000;"PODREGION PRZEMYSKI";1378,27;
061813500000;"PODREGION RZESZOWSKI";1154,43;
061813600000;"PODREGION TARNOBRZESKI";1322,31;
062013700000;"PODREGION BIAŁOSTOCKI";1282,54;
062013800000;"PODREGION ŁOMŻYŃSKI";1404,87;
062013900000;"PODREGION SUWALSKI";1535,34;
071412900000;"PODREGION WARSZAWSKI WSCHODNI";1196,86;
071413000000;"PODREGION WARSZAWSKI ZACHODNI";1381,44;
071422500000;"PODREGION CIECHANOWSKI";1625,63;
071422600000;"PODREGION OSTROŁĘCKI";1427,76;
071422700000;"PODREGION RADOMSKI";1536,87;
071427000000;"PODREGION PŁOCKI";1451,67;
071427100000;"PODREGION SIEDLECKI";1404,34;
071427300000;"PODREGION ŻYRARDOWSKI";1481,64;
