"Kod";"Nazwa";"ofiary śmiertelne na 100 wypadków;2021;[osoba]";
011212000000;"PODREGION KRAKOWSKI";9,9;
011212100000;"PODREGION MIASTO KRAKÓW";1,6;
011212200000;"PODREGION NOWOSĄDECKI";8,8;
011212300000;"PODREGION OŚWIĘCIMSKI";10,1;
011212400000;"PODREGION TARNOWSKI";7,7;
011216900000;"PODREGION NOWOTARSKI";6,5;
012414400000;"PODREGION BIELSKI";6,0;
012414500000;"PODREGION BYTOMSKI";7,4;
012414600000;"PODREGION CZĘSTOCHOWSKI";8,1;
012414700000;"PODREGION GLIWICKI";6,5;
012414800000;"PODREGION KATOWICKI";2,8;
012414900000;"PODREGION RYBNICKI";6,0;
012415000000;"PODREGION SOSNOWIECKI";7,7;
012415100000;"PODREGION TYSKI";11,2;
020811300000;"PODREGION GORZOWSKI";13,0;
020811400000;"PODREGION ZIELONOGÓRSKI";13,2;
023015700000;"PODREGION KALISKI";12,9;
023015800000;"PODREGION KONIŃSKI";8,1;
023015900000;"PODREGION LESZCZYŃSKI";9,8;
023016000000;"PODREGION PILSKI";19,6;
023016100000;"PODREGION POZNAŃSKI";10,9;
023016200000;"PODREGION MIASTO POZNAŃ";2,9;
023216300000;"PODREGION KOSZALIŃSKI";12,5;
023216400000;"PODREGION SZCZECINECKO-PYRZYCKI";15,7;
023216500000;"PODREGION MIASTO SZCZECIN";2,6;
023216600000;"PODREGION SZCZECIŃSKI";13,9;
030210100000;"PODREGION JELENIOGÓRSKI";20,3;
030210200000;"PODREGION LEGNICKO-GŁOGOWSKI";16,4;
030210300000;"PODREGION WAŁBRZYSKI";11,0;
030210400000;"PODREGION WROCŁAWSKI";12,0;
030210500000;"PODREGION MIASTO WROCŁAW";2,0;
031613100000;"PODREGION NYSKI";20,8;
031613200000;"PODREGION OPOLSKI";12,5;
040410600000;"PODREGION BYDGOSKO-TORUŃSKI";15,5;
040410700000;"PODREGION GRUDZIĄDZKI";19,4;
040410800000;"PODREGION WŁOCŁAWSKI";16,9;
040416700000;"PODREGION INOWROCŁAWSKI";8,5;
040416800000;"PODREGION ŚWIECKI";22,1;
042214000000;"PODREGION GDAŃSKI";7,9;
042214100000;"PODREGION SŁUPSKI";6,6;
042214200000;"PODREGION STAROGARDZKI";10,1;
042214300000;"PODREGION TRÓJMIEJSKI";2,6;
042217200000;"PODREGION CHOJNICKI";9,0;
042815400000;"PODREGION ELBLĄSKI";10,6;
042815500000;"PODREGION EŁCKI";9,3;
042815600000;"PODREGION OLSZTYŃSKI";10,8;
051011500000;"PODREGION ŁÓDZKI";12,3;
051011600000;"PODREGION MIASTO ŁÓDŹ";1,6;
051011700000;"PODREGION PIOTRKOWSKI";11,2;
051011800000;"PODREGION SIERADZKI";17,9;
051011900000;"PODREGION SKIERNIEWICKI";11,7;
052615200000;"PODREGION KIELECKI";10,7;
052615300000;"PODREGION SANDOMIERSKO-JĘDRZEJOWSKI";11,5;
060610900000;"PODREGION BIALSKI";14,1;
060611000000;"PODREGION CHEŁMSKO-ZAMOJSKI";19,0;
060611100000;"PODREGION LUBELSKI";13,9;
060611200000;"PODREGION PUŁAWSKI";13,7;
061813300000;"PODREGION KROŚNIEŃSKI";6,1;
061813400000;"PODREGION PRZEMYSKI";14,8;
061813500000;"PODREGION RZESZOWSKI";4,8;
061813600000;"PODREGION TARNOBRZESKI";11,3;
062013700000;"PODREGION BIAŁOSTOCKI";16,0;
062013800000;"PODREGION ŁOMŻYŃSKI";20,8;
062013900000;"PODREGION SUWALSKI";17,3;
071412800000;"PODREGION MIASTO WARSZAWA";6,0;
071412900000;"PODREGION WARSZAWSKI WSCHODNI";16,6;
071413000000;"PODREGION WARSZAWSKI ZACHODNI";16,7;
071422500000;"PODREGION CIECHANOWSKI";14,1;
071422600000;"PODREGION OSTROŁĘCKI";16,9;
071422700000;"PODREGION RADOMSKI";10,6;
071427000000;"PODREGION PŁOCKI";13,2;
071427100000;"PODREGION SIEDLECKI";15,5;
071427300000;"PODREGION ŻYRARDOWSKI";11,0;
