"Kod";"Nazwa";"ranni na 100 wypadków;2021;[osoba]";
011212000000;"PODREGION KRAKOWSKI";118,3;
011212100000;"PODREGION MIASTO KRAKÓW";104,6;
011212200000;"PODREGION NOWOSĄDECKI";126,5;
011212300000;"PODREGION OŚWIĘCIMSKI";116,0;
011212400000;"PODREGION TARNOWSKI";117,6;
011216900000;"PODREGION NOWOTARSKI";125,9;
012414400000;"PODREGION BIELSKI";115,1;
012414500000;"PODREGION BYTOMSKI";112,9;
012414600000;"PODREGION CZĘSTOCHOWSKI";123,3;
012414700000;"PODREGION GLIWICKI";114,6;
012414800000;"PODREGION KATOWICKI";115,7;
012414900000;"PODREGION RYBNICKI";113,3;
012415000000;"PODREGION SOSNOWIECKI";120,6;
012415100000;"PODREGION TYSKI";113,2;
020811300000;"PODREGION GORZOWSKI";125,1;
020811400000;"PODREGION ZIELONOGÓRSKI";116,8;
023015700000;"PODREGION KALISKI";112,5;
023015800000;"PODREGION KONIŃSKI";119,2;
023015900000;"PODREGION LESZCZYŃSKI";112,5;
023016000000;"PODREGION PILSKI";106,0;
023016100000;"PODREGION POZNAŃSKI";118,9;
023016200000;"PODREGION MIASTO POZNAŃ";114,9;
023216300000;"PODREGION KOSZALIŃSKI";113,2;
023216400000;"PODREGION SZCZECINECKO-PYRZYCKI";105,7;
023216500000;"PODREGION MIASTO SZCZECIN";115,5;
023216600000;"PODREGION SZCZECIŃSKI";124,7;
030210100000;"PODREGION JELENIOGÓRSKI";111,6;
030210200000;"PODREGION LEGNICKO-GŁOGOWSKI";116,9;
030210300000;"PODREGION WAŁBRZYSKI";121,5;
030210400000;"PODREGION WROCŁAWSKI";123,1;
030210500000;"PODREGION MIASTO WROCŁAW";109,1;
031613100000;"PODREGION NYSKI";106,5;
031613200000;"PODREGION OPOLSKI";112,2;
040410600000;"PODREGION BYDGOSKO-TORUŃSKI";111,2;
040410700000;"PODREGION GRUDZIĄDZKI";103,0;
040410800000;"PODREGION WŁOCŁAWSKI";89,9;
040416700000;"PODREGION INOWROCŁAWSKI";122,2;
040416800000;"PODREGION ŚWIECKI";113,2;
042214000000;"PODREGION GDAŃSKI";117,0;
042214100000;"PODREGION SŁUPSKI";113,3;
042214200000;"PODREGION STAROGARDZKI";123,6;
042214300000;"PODREGION TRÓJMIEJSKI";108,4;
042217200000;"PODREGION CHOJNICKI";125,1;
042815400000;"PODREGION ELBLĄSKI";120,2;
042815500000;"PODREGION EŁCKI";122,4;
042815600000;"PODREGION OLSZTYŃSKI";112,3;
051011500000;"PODREGION ŁÓDZKI";118,2;
051011600000;"PODREGION MIASTO ŁÓDŹ";117,9;
051011700000;"PODREGION PIOTRKOWSKI";123,7;
051011800000;"PODREGION SIERADZKI";114,0;
051011900000;"PODREGION SKIERNIEWICKI";124,3;
052615200000;"PODREGION KIELECKI";116,1;
052615300000;"PODREGION SANDOMIERSKO-JĘDRZEJOWSKI";118,3;
060610900000;"PODREGION BIALSKI";103,5;
060611000000;"PODREGION CHEŁMSKO-ZAMOJSKI";106,3;
060611100000;"PODREGION LUBELSKI";111,4;
060611200000;"PODREGION PUŁAWSKI";109,0;
061813300000;"PODREGION KROŚNIEŃSKI";114,0;
061813400000;"PODREGION PRZEMYSKI";148,1;
061813500000;"PODREGION RZESZOWSKI";117,5;
061813600000;"PODREGION TARNOBRZESKI";112,2;
062013700000;"PODREGION BIAŁOSTOCKI";126,5;
062013800000;"PODREGION ŁOMŻYŃSKI";99,4;
062013900000;"PODREGION SUWALSKI";106,1;
071412800000;"PODREGION MIASTO WARSZAWA";107,1;
071412900000;"PODREGION WARSZAWSKI WSCHODNI";112,8;
071413000000;"PODREGION WARSZAWSKI ZACHODNI";113,1;
071422500000;"PODREGION CIECHANOWSKI";114,1;
071422600000;"PODREGION OSTROŁĘCKI";120,9;
071422700000;"PODREGION RADOMSKI";125,0;
071427000000;"PODREGION PŁOCKI";113,2;
071427100000;"PODREGION SIEDLECKI";114,9;
071427300000;"PODREGION ŻYRARDOWSKI";119,5;
