"Kod";"Nazwa";"ogółem;2021;[zł]";
011212001000;"Powiat bocheński";5056,61;
011212006000;"Powiat krakowski";5562,32;
011212008000;"Powiat miechowski";4906,57;
011212009000;"Powiat myślenicki";5025,52;
011212014000;"Powiat proszowicki";4968,09;
011212019000;"Powiat wielicki";5369,27;
011212161000;"Powiat m. Kraków";7203,41;
011212205000;"Powiat gorlicki";4619,28;
011212207000;"Powiat limanowski";4650,69;
011212210000;"Powiat nowosądecki";4540,71;
011212262000;"Powiat m. Nowy Sącz";4838,59;
011212303000;"Powiat chrzanowski";5321,95;
011212312000;"Powiat olkuski";5266,62;
011212313000;"Powiat oświęcimski";5422,84;
011212318000;"Powiat wadowicki";4936,99;
011212402000;"Powiat brzeski";4676,17;
011212404000;"Powiat dąbrowski";4807,50;
011212416000;"Powiat tarnowski";4516,68;
011212463000;"Powiat m. Tarnów";6035,40;
011216911000;"Powiat nowotarski";4664,68;
011216915000;"Powiat suski";4955,34;
011216917000;"Powiat tatrzański";5056,45;
012414402000;"Powiat bielski";5205,16;
012414403000;"Powiat cieszyński";5109,39;
012414417000;"Powiat żywiecki";5437,65;
012414461000;"Powiat m. Bielsko-Biała";5789,65;
012414507000;"Powiat lubliniecki";5038,72;
012414513000;"Powiat tarnogórski";5320,63;
012414562000;"Powiat m. Bytom";5562,14;
012414571000;"Powiat m. Piekary Śląskie";5732,54;
012414604000;"Powiat częstochowski";5015,76;
012414606000;"Powiat kłobucki";4435,67;
012414609000;"Powiat myszkowski";5006,82;
012414664000;"Powiat m. Częstochowa";5307,19;
012414705000;"Powiat gliwicki";5062,72;
012414766000;"Powiat m. Gliwice";6698,45;
012414778000;"Powiat m. Zabrze";5824,86;
012414863000;"Powiat m. Chorzów";5282,22;
012414869000;"Powiat m. Katowice";6924,74;
012414870000;"Powiat m. Mysłowice";5216,97;
012414872000;"Powiat m. Ruda Śląska";5318,24;
012414874000;"Powiat m. Siemianowice Śląskie";5389,44;
012414876000;"Powiat m. Świętochłowice";4816,93;
012414911000;"Powiat raciborski";5907,56;
012414912000;"Powiat rybnicki";5078,82;
012414915000;"Powiat wodzisławski";4708,55;
012414967000;"Powiat m. Jastrzębie-Zdrój";8987,51;
012414973000;"Powiat m. Rybnik";5447,31;
012414979000;"Powiat m. Żory";5195,58;
012415001000;"Powiat będziński";5088,35;
012415016000;"Powiat zawierciański";5807,30;
012415065000;"Powiat m. Dąbrowa Górnicza";6360,81;
012415068000;"Powiat m. Jaworzno";6435,97;
012415075000;"Powiat m. Sosnowiec";5551,62;
012415108000;"Powiat mikołowski";5294,33;
012415110000;"Powiat pszczyński";5270,28;
012415114000;"Powiat bieruńsko-lędziński";5054,59;
012415177000;"Powiat m. Tychy";5586,31;
020811301000;"Powiat gorzowski";5419,18;
020811303000;"Powiat międzyrzecki";5085,53;
020811305000;"Powiat słubicki";4733,20;
020811306000;"Powiat strzelecko-drezdenecki";5038,23;
020811307000;"Powiat sulęciński";4685,18;
020811361000;"Powiat m. Gorzów Wielkopolski";5242,27;
020811402000;"Powiat krośnieński";5127,37;
020811404000;"Powiat nowosolski";5132,85;
020811408000;"Powiat świebodziński";5242,75;
020811409000;"Powiat zielonogórski";5392,72;
020811410000;"Powiat żagański";4823,38;
020811411000;"Powiat żarski";5659,45;
020811412000;"Powiat wschowski";4866,09;
020811462000;"Powiat m. Zielona Góra";5697,74;
023015706000;"Powiat jarociński";4720,74;
023015707000;"Powiat kaliski";4553,66;
023015708000;"Powiat kępiński";4244,56;
023015712000;"Powiat krotoszyński";4285,52;
023015717000;"Powiat ostrowski";4944,70;
023015718000;"Powiat ostrzeszowski";4936,59;
023015720000;"Powiat pleszewski";4921,89;
023015761000;"Powiat m. Kalisz";5158,07;
023015803000;"Powiat gnieźnieński";5162,09;
023015809000;"Powiat kolski";5346,81;
023015810000;"Powiat koniński";4457,33;
023015823000;"Powiat słupecki";4990,83;
023015827000;"Powiat turecki";4404,21;
023015830000;"Powiat wrzesiński";5142,47;
023015862000;"Powiat m. Konin";5369,58;
023015904000;"Powiat gostyński";5174,68;
023015905000;"Powiat grodziski";4675,12;
023015911000;"Powiat kościański";5127,41;
023015913000;"Powiat leszczyński";5274,63;
023015914000;"Powiat międzychodzki";4891,36;
023015915000;"Powiat nowotomyski";5215,49;
023015922000;"Powiat rawicki";4698,39;
023015929000;"Powiat wolsztyński";4899,60;
023015963000;"Powiat m. Leszno";5000,33;
023016001000;"Powiat chodzieski";5006,64;
023016002000;"Powiat czarnkowsko-trzcianecki";5327,99;
023016019000;"Powiat pilski";5371,98;
023016028000;"Powiat wągrowiecki";4879,33;
023016031000;"Powiat złotowski";4301,59;
023016116000;"Powiat obornicki";5236,25;
023016121000;"Powiat poznański";5054,35;
023016124000;"Powiat szamotulski";5726,53;
023016125000;"Powiat średzki";5473,17;
023016126000;"Powiat śremski";4935,64;
023016264000;"Powiat m. Poznań";6662,69;
023216301000;"Powiat białogardzki";5146,91;
023216308000;"Powiat kołobrzeski";5000,76;
023216309000;"Powiat koszaliński";5100,02;
023216313000;"Powiat sławieński";4747,64;
023216361000;"Powiat m. Koszalin";5496,02;
023216402000;"Powiat choszczeński";4981,01;
023216403000;"Powiat drawski";4789,08;
023216410000;"Powiat myśliborski";4927,15;
023216412000;"Powiat pyrzycki";5265,00;
023216415000;"Powiat szczecinecki";5255,69;
023216416000;"Powiat świdwiński";4704,50;
023216417000;"Powiat wałecki";5224,57;
023216418000;"Powiat łobeski";4962,09;
023216562000;"Powiat m. Szczecin";6244,67;
023216604000;"Powiat goleniowski";5439,72;
023216605000;"Powiat gryficki";4745,48;
023216606000;"Powiat gryfiński";5297,93;
023216607000;"Powiat kamieński";4623,87;
023216611000;"Powiat policki";5844,37;
023216614000;"Powiat stargardzki";5126,31;
023216663000;"Powiat m. Świnoujście";5564,41;
030210101000;"Powiat bolesławiecki";5461,94;
030210105000;"Powiat jaworski";5554,54;
030210106000;"Powiat karkonoski";5050,91;
030210107000;"Powiat kamiennogórski";4885,26;
030210110000;"Powiat lubański";4980,17;
030210112000;"Powiat lwówecki";5049,64;
030210125000;"Powiat zgorzelecki";5346,28;
030210126000;"Powiat złotoryjski";5591,14;
030210161000;"Powiat m. Jelenia Góra";5646,31;
030210203000;"Powiat głogowski";5171,28;
030210204000;"Powiat górowski";4862,88;
030210209000;"Powiat legnicki";5452,05;
030210211000;"Powiat lubiński";10076,64;
030210216000;"Powiat polkowicki";6120,80;
030210262000;"Powiat m. Legnica";5463,27;
030210302000;"Powiat dzierżoniowski";5127,97;
030210308000;"Powiat kłodzki";5141,98;
030210319000;"Powiat świdnicki";5469,98;
030210321000;"Powiat wałbrzyski";4759,75;
030210324000;"Powiat ząbkowicki";4975,61;
030210365000;"Powiat m. Wałbrzych od 2013";6015,80;
030210413000;"Powiat milicki";4848,85;
030210414000;"Powiat oleśnicki";5113,77;
030210415000;"Powiat oławski";5467,98;
030210417000;"Powiat strzeliński";5671,21;
030210418000;"Powiat średzki";5761,88;
030210420000;"Powiat trzebnicki";5235,04;
030210422000;"Powiat wołowski";6793,03;
030210423000;"Powiat wrocławski";6489,25;
030210564000;"Powiat m. Wrocław";6693,90;
031613101000;"Powiat brzeski";5157,08;
031613102000;"Powiat głubczycki";5181,69;
031613106000;"Powiat namysłowski";5293,47;
031613107000;"Powiat nyski";5053,60;
031613110000;"Powiat prudnicki";4808,55;
031613203000;"Powiat kędzierzyńsko-kozielski";6015,26;
031613204000;"Powiat kluczborski";5108,36;
031613205000;"Powiat krapkowicki";5787,32;
031613208000;"Powiat oleski";4916,44;
031613209000;"Powiat opolski";5101,21;
031613211000;"Powiat strzelecki";5238,85;
031613261000;"Powiat m. Opole";6011,09;
040410603000;"Powiat bydgoski";5167,77;
040410615000;"Powiat toruński";4737,52;
040410661000;"Powiat m. Bydgoszcz";5848,22;
040410663000;"Powiat m. Toruń";5841,99;
040410702000;"Powiat brodnicki";4666,18;
040410704000;"Powiat chełmiński";4901,95;
040410705000;"Powiat golubsko-dobrzyński";5272,37;
040410706000;"Powiat grudziądzki";5009,38;
040410712000;"Powiat rypiński";4668,80;
040410717000;"Powiat wąbrzeski";5091,85;
040410762000;"Powiat m. Grudziądz";4825,20;
040410801000;"Powiat aleksandrowski";4651,79;
040410808000;"Powiat lipnowski";4455,86;
040410811000;"Powiat radziejowski";4799,97;
040410818000;"Powiat włocławski";4807,59;
040410864000;"Powiat m. Włocławek";5294,49;
040416707000;"Powiat inowrocławski";4988,03;
040416709000;"Powiat mogileński";4704,01;
040416710000;"Powiat nakielski";4822,85;
040416719000;"Powiat żniński";4600,57;
040416813000;"Powiat sępoleński";4702,98;
040416814000;"Powiat świecki";5211,03;
040416816000;"Powiat tucholski";4640,12;
042214004000;"Powiat gdański";5484,63;
042214005000;"Powiat kartuski";4933,56;
042214010000;"Powiat nowodworski";5077,72;
042214011000;"Powiat pucki";5205,94;
042214015000;"Powiat wejherowski";5056,01;
042214101000;"Powiat bytowski";5373,68;
042214108000;"Powiat lęborski";5316,30;
042214112000;"Powiat słupski";5105,88;
042214163000;"Powiat m. Słupsk";5375,69;
042214207000;"Powiat kwidzyński";5205,22;
042214209000;"Powiat malborski";4873,92;
042214213000;"Powiat starogardzki";5635,66;
042214214000;"Powiat tczewski";5455,53;
042214216000;"Powiat sztumski";4984,90;
042214361000;"Powiat m. Gdańsk";7084,42;
042214362000;"Powiat m. Gdynia";6298,57;
042214364000;"Powiat m. Sopot";7331,15;
042217202000;"Powiat chojnicki";4805,13;
042217203000;"Powiat człuchowski";5002,55;
042217206000;"Powiat kościerski";4810,12;
042815402000;"Powiat braniewski";4875,92;
042815403000;"Powiat działdowski";4657,91;
042815404000;"Powiat elbląski";4690,74;
042815407000;"Powiat iławski";4557,38;
042815412000;"Powiat nowomiejski";4342,17;
042815415000;"Powiat ostródzki";4851,18;
042815461000;"Powiat m. Elbląg";5423,69;
042815505000;"Powiat ełcki";4764,65;
042815506000;"Powiat giżycki";4901,26;
042815513000;"Powiat olecki";4920,30;
042815516000;"Powiat piski";4968,35;
042815518000;"Powiat gołdapski";4683,51;
042815519000;"Powiat węgorzewski";4766,72;
042815601000;"Powiat bartoszycki";4953,67;
042815608000;"Powiat kętrzyński";4881,27;
042815609000;"Powiat lidzbarski";4700,72;
042815610000;"Powiat mrągowski";4714,65;
042815611000;"Powiat nidzicki";4657,75;
042815614000;"Powiat olsztyński";5205,74;
042815617000;"Powiat szczycieński";4946,10;
042815662000;"Powiat m. Olsztyn";5902,66;
051011506000;"Powiat łódzki wschodni";4921,85;
051011508000;"Powiat pabianicki";5097,18;
051011520000;"Powiat zgierski";5476,77;
051011521000;"Powiat brzeziński";4605,78;
051011661000;"Powiat m. Łódź";6062,04;
051011701000;"Powiat bełchatowski";7288,32;
051011707000;"Powiat opoczyński";4877,79;
051011710000;"Powiat piotrkowski";4657,40;
051011712000;"Powiat radomszczański";4807,65;
051011716000;"Powiat tomaszowski";4926,75;
051011762000;"Powiat m. Piotrków Trybunalski";5029,34;
051011803000;"Powiat łaski";4475,37;
051011809000;"Powiat pajęczański";4878,09;
051011811000;"Powiat poddębicki";6479,53;
051011814000;"Powiat sieradzki";5105,75;
051011817000;"Powiat wieluński";4994,12;
051011818000;"Powiat wieruszowski";4510,26;
051011819000;"Powiat zduńskowolski";4818,67;
051011902000;"Powiat kutnowski";5228,84;
051011904000;"Powiat łęczycki";5112,54;
051011905000;"Powiat łowicki";4866,80;
051011913000;"Powiat rawski";5001,06;
051011915000;"Powiat skierniewicki";4861,50;
051011963000;"Powiat m. Skierniewice";5145,34;
052615204000;"Powiat kielecki";4789,44;
052615205000;"Powiat konecki";4922,90;
052615207000;"Powiat ostrowiecki";4912,01;
052615210000;"Powiat skarżyski";5118,05;
052615211000;"Powiat starachowicki";5500,36;
052615261000;"Powiat m. Kielce";5648,73;
052615301000;"Powiat buski";4912,74;
052615302000;"Powiat jędrzejowski";5350,78;
052615303000;"Powiat kazimierski";4616,89;
052615306000;"Powiat opatowski";4619,32;
052615308000;"Powiat pińczowski";4885,52;
052615309000;"Powiat sandomierski";5414,24;
052615312000;"Powiat staszowski";5167,98;
052615313000;"Powiat włoszczowski";5238,84;
060610901000;"Powiat bialski";4594,45;
060610913000;"Powiat parczewski";4881,98;
060610915000;"Powiat radzyński";4775,71;
060610919000;"Powiat włodawski";4724,35;
060610961000;"Powiat m. Biała Podlaska";4984,69;
060611002000;"Powiat biłgorajski";4781,00;
060611003000;"Powiat chełmski";4637,15;
060611004000;"Powiat hrubieszowski";5019,57;
060611006000;"Powiat krasnostawski";4843,32;
060611018000;"Powiat tomaszowski";4556,75;
060611020000;"Powiat zamojski";4373,85;
060611062000;"Powiat m. Chełm";4945,78;
060611064000;"Powiat m. Zamość";5405,57;
060611108000;"Powiat lubartowski";4824,58;
